"","MCD_FIPS","geoid","pop","percap_inc_2015","med_inc_15older","unemp_1864_perc","bach_perc","male_perc","age_med","white_perc","black_perc","asian_perc","hisp_perc","native_perc","pov_perc","stamps_perc","house_size_ave","muni_county_2016","hindi","muni.area","muni.dense"
"19","5500177800","06000US5500177800",1109,22168,21349,4.24778761061947,11.2936344969199,51.5779981965735,55.6,99.2786293958521,0,0,2.34445446348061,0,16.2511542012927,10.8786610878661,2.32,"TOWN OF STRONGS PRAIRIE ADAMS","1034",62.4087156490311,17.7699538993352
"20","5500188150","06000US5500188150",12,NA,NA,0,50,75,20.5,100,0,0,0,0,0,0,4,NA,NA,4.09852641759439,2.92788157921484
"21","5500300000","06000US5500300000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","5500300550","06000US5500300550",441,22990,24327,8.88888888888889,10.5263157894737,52.3809523809524,47.8,95.2380952380952,0,0.226757369614512,0,1.36054421768707,14.7126436781609,17.5824175824176,2.42,"TOWN OF AGENDA ASHLAND","2002",232.094950983747,1.90008441860022
"23","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"24","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"25","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"26","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"27","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"28","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"29","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"30","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"31","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"32","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"33","5500303225","06000US5500303225",8116,23319,22279,5.84493041749503,24.5452340528741,48.8171513060621,41.5,85.6949236076885,0.7885657959586,0.677673730901922,2.19319862000986,7.22030556924593,14.1020265548567,20.2397546696404,2.1,"CITY OF ASHLAND ASHLAND","2201",11.0658736813619,733.426047838381
"34","5500303250","06000US5500303250",552,21668,25042,0.940438871473354,19.8606271777003,49.6376811594203,39.6,95.6521739130435,0,0.181159420289855,0,1.6304347826087,12.5703564727955,12.9310344827586,2.38,"TOWN OF ASHLAND ASHLAND","2004",107.099459693026,5.15408762641913
"35","5500311525","06000US5500311525",385,18096,20048,8.71559633027523,9.375,52.4675324675325,43.6,98.1818181818182,0,0,1.55844155844156,1.03896103896104,19.2513368983957,22.5806451612903,2.07,"VILLAGE OF BUTTERNUT ASHLAND","2106",1.93504314296066,198.961972191969
"36","5500314550","06000US5500314550",351,27453,21000,4.23728813559322,14.8514851485149,52.1367521367521,48,99.1452991452991,0,0,1.70940170940171,0,9.91253644314869,12.5786163522013,2.21,"TOWN OF CHIPPEWA ASHLAND","2006",326.288505267708,1.07573510661069
"37","5500329250","06000US5500329250",825,28882,26563,3.9426523297491,16.2886597938144,54.7878787878788,46.9,91.6363636363636,0,0,0.363636363636364,5.09090909090909,11.9196988707654,10.2893890675241,2.65,"TOWN OF GINGLES ASHLAND","2008",98.0882364452639,8.41079450399105
"38","5500329875","06000US5500329875",289,19936,18977,6.59340659340659,11.3207547169811,53.6332179930796,57.1,98.6159169550173,0,0,0,1.03806228373702,22.1453287197232,14.6153846153846,2.22,"TOWN OF GORDON ASHLAND","2010",146.523625359573,1.97237816966913
"39","5500337775","06000US5500337775",664,17888,18242,3.8560411311054,15.6156156156156,50.9036144578313,48.4,98.3433734939759,0,0,1.80722891566265,1.6566265060241,19.9044585987261,15.3846153846154,2.22,"TOWN OF JACOBS ASHLAND","2012",133.752473740448,4.96439416356902
"40","5500342562","06000US5500342562",185,32047,31083,3.63636363636364,58.4905660377358,47.027027027027,57.3,100,0,0,9.72972972972973,0,6.48648648648649,6.73076923076923,1.78,"TOWN OF LA POINTE ASHLAND","2014",201.24467298953,0.919278991348133
"41","5500349200","06000US5500349200",469,16413,22125,5.62770562770563,12.4378109452736,50.319829424307,30.3,97.228144989339,0.213219616204691,0.213219616204691,2.77185501066098,1.49253731343284,5.49199084668192,15.5555555555556,3.47,"TOWN OF MARENGO ASHLAND","2016",102.99638291687,4.553557966968
"42","5500350700","06000US5500350700",699,23293,21000,6.84596577017115,10.655737704918,46.6380543633763,47.8,94.4206008583691,1.57367668097282,0,1.43061516452074,1.1444921316166,20.1538461538462,26.031746031746,2.13,"CITY OF MELLEN ASHLAND","2251",4.83112525580794,144.686788892436
"43","5500354400","06000US5500354400",591,20978,24896,6.14886731391586,13.4948096885813,51.9458544839255,42.1,97.2927241962775,0,0,3.04568527918782,2.7072758037225,7.06713780918728,10.2803738317757,2.76,"TOWN OF MORSE ASHLAND","2018",228.816763652586,2.58285271833195
"44","5500361600","06000US5500361600",134,26664,20625,2.29885057471264,23.2558139534884,51.4925373134328,60.7,94.7761194029851,0,0.746268656716418,2.98507462686567,2.98507462686567,12.9770992366412,0,2.16,"TOWN OF PEEKSVILLE ASHLAND","2020",19.4937004170906,6.87401556056125
"45","5500371350","06000US5500371350",1276,16554,16827,12.3139377537212,10.3618421052632,50.3134796238245,34.2,20.7680250783699,0.626959247648903,1.8025078369906,7.83699059561129,71.7084639498433,41.4893617021277,38.7580299785867,2.73,"TOWN OF SANBORN ASHLAND","2022",96.1751728499543,13.2674573092863
"46","5500372825","06000US5500372825",119,31213,NA,4.47761194029851,23.3333333333333,49.5798319327731,58.8,99.1596638655462,0,0.840336134453782,0,0,13.4453781512605,8.62068965517241,2.05,"TOWN OF SHANAGOLDEN ASHLAND","2024",232.473280614883,0.511886784086538
"47","5500386850","06000US5500386850",897,16534,22593,4.13793103448276,6.01719197707736,52.7313266443701,24.7,97.9933110367893,0,0,0,1.11482720178372,14.5258103241297,21.2996389891697,3.24,"TOWN OF WHITE RIVER ASHLAND","2026",93.6535358553687,9.57785514243965
"48","5500501325","06000US5500501325",684,18883,20947,4.21545667447307,8.76712328767123,55.8479532163743,37.8,89.0350877192982,1.90058479532164,0,7.16374269005848,3.3625730994152,17.2897196261682,23.5494880546075,2.33,"VILLAGE OF ALMENA BARRON","3101",2.92003395303513,234.243851613109
"49","5500501350","06000US5500501350",847,29639,27644,6.57370517928287,19.9143468950749,54.1912632821724,50.4,97.7567886658796,0,0.590318772136954,0.944510035419126,1.65289256198347,12.3337363966143,9.09090909090909,2.41,"TOWN OF ALMENA BARRON","3002",49.7128222797063,17.0378578635991
"50","5500502775","06000US5500502775",763,31001,27400,2.30125523012552,10.4591836734694,50.5897771952818,35.9,99.737876802097,0,0,0.524246395806029,0,4.72334682860999,6.01503759398496,2.87,"TOWN OF ARLAND BARRON","3004",91.8991852918193,8.30257632401363
"51","5500504875","06000US5500504875",3366,20055,19725,5.42309490416082,9.79710144927536,55.6149732620321,37,86.096256684492,13.4878193701723,0,2.88175876411171,0,13.295568143952,23.2198142414861,2.44,"CITY OF BARRON BARRON","3206",1.05007108616017,3205.49727000726
"52","5500504900","06000US5500504900",720,26494,27162,4.01002506265664,18.2072829131653,50.9722222222222,43.6,95.4166666666667,1.11111111111111,2.36111111111111,2.36111111111111,0,4.18470418470418,7.98611111111111,2.43,"TOWN OF BARRON BARRON","3006",50.3837896122729,14.2903105451325
"53","5500505650","06000US5500505650",670,27598,28000,2.44498777506112,10.7894736842105,54.1791044776119,49.5,99.7014925373134,0,0,0.746268656716418,0,2.91411042944785,12.2222222222222,2.48,"TOWN OF BEAR LAKE BARRON","3008",91.2878802742927,7.33941896763131
"54","5500512250","06000US5500512250",1974,20774,25081,6.2780269058296,12.0967741935484,49.4934143870314,35.2,94.6808510638298,0.253292806484296,1.26646403242148,0.658561296859169,0.658561296859169,11.0210696920583,14.3037974683544,2.5,"VILLAGE OF CAMERON BARRON","3111",2.95365638095175,668.324187177088
"55","5500513500","06000US5500513500",937,29457,26754,7.10571923743501,17.7981651376147,50.8004268943437,54.4,97.1184631803629,0,1.28068303094984,1.49413020277481,0.32017075773746,6.9593147751606,1.49892933618844,2.01,"TOWN OF CEDAR LAKE BARRON","3010",91.9281069031272,10.1927476978004
"56","5500514325","06000US5500514325",2345,18879,20826,6.90993788819876,12.5,46.1407249466951,43.8,99.3603411513859,0,0,4.6908315565032,0,16.6744511910322,26.0956175298805,2.24,"CITY OF CHETEK BARRON","3211",3.30881633113431,708.712652900893
"57","5500514350","06000US5500514350",1639,29236,28056,2.90635091496232,15.0401836969001,50.8846857840146,55.8,99.08480780964,0,0,0.48810250152532,0.671140939597315,6.69586983729662,7.70288858321871,2.25,"TOWN OF CHETEK BARRON","3012",34.3288250245074,47.7441333581886
"58","5500515600","06000US5500515600",742,21420,22557,4.05727923627685,9.97229916897507,49.8652291105121,44.4,97.0350404312669,0,1.48247978436658,0.539083557951483,0.808625336927224,5.11756569847856,6.52173913043478,2.69,"TOWN OF CLINTON BARRON","3014",92.0414109996258,8.0615887125309
"59","5500517875","06000US5500517875",784,23159,26424,2.04545454545455,11.5479115479115,53.3163265306122,44.5,94.7704081632653,0.892857142857143,0,1.78571428571429,0,12.751677852349,9.90415335463259,2.47,"TOWN OF CRYSTAL LAKE BARRON","3016",90.0114314910125,8.71000479620504
"60","5500518025","06000US5500518025",2434,21375,21341,6.97847067557535,22.4077328646749,46.3434675431389,45.1,94.4946589975349,0,0,6.40920295809367,1.68447000821693,18.2790905037896,17.0212765957447,2.2,"CITY OF CUMBERLAND BARRON","3212",3.28523503503858,740.890674195375
"61","5500518050","06000US5500518050",783,27610,30110,4.32098765432099,19.5754716981132,53.8952745849298,45.9,99.6168582375479,0,0,1.78799489144317,0,6.59630606860158,7.57097791798107,2.47,"TOWN OF CUMBERLAND BARRON","3018",85.8699671480835,9.1184383318758
"62","5500518575","06000US5500518575",368,18340,18293,5.61224489795918,9.03225806451613,46.4673913043478,46.6,99.7282608695652,0,0,0.543478260869565,0,23.3766233766234,24.6478873239437,2.26,"VILLAGE OF DALLAS BARRON","3116",3.86701209413797,95.1639123544127
"63","5500518600","06000US5500518600",521,30172,31573,3.49206349206349,19.3771626297578,53.3589251439539,40.3,90.7869481765835,0,0.383877159309021,7.48560460652591,1.15163147792706,2.21774193548387,2.60416666666667,2.71,"TOWN OF DALLAS BARRON","3020",95.737797658939,5.44194678319252
"64","5500520650","06000US5500520650",806,22229,28790,3.2258064516129,13.3187772925764,52.4813895781638,38.3,100,0,0,0.248138957816377,0,13.1105398457584,6.93069306930693,2.66,"TOWN OF DOVRE BARRON","3022",91.5996255612854,8.79916260640978
"65","5500520750","06000US5500520750",505,29958,30563,3.07692307692308,14.4781144781145,51.0891089108911,43.7,97.8217821782178,0,0,0.396039603960396,0,2.0703933747412,3.06122448979592,2.58,"TOWN OF DOYLE BARRON","3024",62.5348725281097,8.07549419362773
"66","5500533225","06000US5500533225",361,20788,24674,1.37614678899083,11.0552763819095,50.6925207756233,34.9,98.3379501385042,0,0,2.21606648199446,0,8.45481049562682,13.1386861313869,2.64,"VILLAGE OF HAUGEN BARRON","3136",1.32403918571975,272.650540779697
"67","5500541600","06000US5500541600",952,27341,29464,1.57894736842105,16.0148975791434,53.781512605042,52.1,99.1596638655462,0,0,1.36554621848739,0,8.82669537136706,7.37327188940092,2.19,"TOWN OF LAKELAND BARRON","3026",27.6523366167049,34.4274703868928
"68","5500548825","06000US5500548825",938,25164,25109,4.29338103756708,10.3238866396761,49.0405117270789,48.5,96.0554371002132,1.1727078891258,0.213219616204691,0.746268656716418,0.213219616204691,5.94059405940594,11.1747851002865,2.69,"TOWN OF MAPLE GROVE BARRON","3028",58.4827578626224,16.0389153022398
"69","5500548950","06000US5500548950",641,25453,26146,4.5045045045045,27.8688524590164,48.2059282371295,49.8,81.9032761310452,0,0,1.5600624024961,13.4165366614665,22.3113964686998,11.8959107806691,2.38,"TOWN OF MAPLE PLAIN BARRON","3030",93.3629859190887,6.86567587454316
"70","5500556350","06000US5500556350",23,20961,NA,0,0,30.4347826086957,32.8,100,0,0,0,0,0,22.2222222222222,2.56,NA,NA,0.509363213192535,45.1544190948595
"71","5500558950","06000US5500558950",910,25433,27163,3.62595419847328,17.1492204899777,48.1318681318681,44.1,93.4065934065934,0,1.97802197802198,3.07692307692308,1.31868131868132,13.441483198146,6.55270655270655,2.59,"TOWN OF OAK GROVE BARRON","3032",42.3537943181986,21.485678311683
"72","5500565150","06000US5500565150",485,23797,21786,11.1111111111111,14.2857142857143,43.7113402061856,45.2,95.8762886597938,0.206185567010309,0,8.65979381443299,0,21.2814645308924,27.1428571428571,2.11,"VILLAGE OF PRAIRIE FARM BARRON","3171",2.58360480987739,187.72220818981
"73","5500565175","06000US5500565175",698,25175,29853,4.69973890339426,15.954415954416,51.432664756447,39,93.2664756446991,0,0.429799426934097,0,0,8.45697329376855,14.3478260869565,3.03,"TOWN OF PRAIRIE FARM BARRON","3034",49.997913934317,13.9605824538394
"74","5500565200","06000US5500565200",1509,25592,26327,3.79746835443038,15.4145077720207,54.4068919814447,46.9,95.3611663353214,0,0.198807157057654,2.3194168323393,0,10.9965635738832,10.8333333333333,2.51,"TOWN OF PRAIRIE LAKE BARRON","3036",19.5385326671425,77.2320023057641
"75","5500567350","06000US5500567350",8355,21839,22044,5.75776269792309,15.3846153846154,47.0736086175943,41.9,97.6660682226212,0.0957510472770796,0.550568521843208,0.825852782764811,0.754039497307002,18.1921906693712,17.5558943089431,2.07,"CITY OF RICE LAKE BARRON","3276",0.542423711259381,15403.0877090562
"76","5500567375","06000US5500567375",3079,26862,26265,6.9151809832523,13.8668295662798,53.3614810003248,50.2,99.5777849951283,0,0,3.7999350438454,0.422215004871712,13.9550264550265,11.2708018154312,2.33,"TOWN OF RICE LAKE BARRON","3038",25.2165912065245,122.102149921173
"77","5500574125","06000US5500574125",677,24662,25956,0.744416873449132,15.4471544715447,52.1418020679468,46.5,99.261447562777,0,0,0,0,17.1641791044776,12.7118644067797,2.87,"TOWN OF SIOUX CREEK BARRON","3040",91.541857908599,7.39552392170103
"78","5500576550","06000US5500576550",649,25209,27396,1.79028132992327,17.1830985915493,50.693374422188,43.9,97.3805855161787,0.462249614791988,0,0,0,9.688013136289,8.03212851405623,2.61,"TOWN OF STANFOLD BARRON","3042",93.2695606227707,6.95832590682918
"79","5500576600","06000US5500576600",2538,25539,24960,1.31034482758621,13.8686131386861,49.3695823483058,41.3,95.4688731284476,0,2.20646178092987,0.906225374310481,0.197005516154452,14.6754857379082,15.8841158841159,2.51,"TOWN OF STANLEY BARRON","3044",11.0674873138611,229.320344177975
"80","5500578450","06000US5500578450",709,29092,29667,5.57851239669422,16.4009111617312,49.3653032440056,47.7,99.4358251057828,0,0,1.55148095909732,0,4.07569141193595,8.84353741496599,2.41,"TOWN OF SUMNER BARRON","3046",92.5437465597871,7.66124158958657
"81","5500581075","06000US5500581075",1064,19432,22232,6.01503759398496,6.98924731182796,53.6654135338346,33.1,79.2293233082707,5.92105263157895,1.31578947368421,12.0300751879699,4.32330827067669,15.3292181069959,17.9203539823009,2.35,"VILLAGE OF TURTLE LAKE BARRON","3186",6.06749956460259,175.36053998377
"82","5500581100","06000US5500581100",583,22433,30000,4.32098765432099,19.1558441558442,50.2572898799314,42.4,98.2847341337907,0,0.514579759862779,0,0,9.35251798561151,5.75221238938053,2.58,"TOWN OF TURTLE LAKE BARRON","3048",92.534793576233,6.30033285284964
"83","5500582375","06000US5500582375",627,26635,31923,8.03324099722992,14.6268656716418,51.03668261563,41.1,97.2886762360447,0.956937799043062,0,0,1.43540669856459,13.2890365448505,11.7886178861789,2.55,"TOWN OF VANCE CREEK BARRON","3050",92.1137881683804,6.8067985528276
"84","5500700000","06000US5500700000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","5500703225","06000US5500703225",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201952567222747,0
"86","5500704725","06000US5500704725",792,30893,34350,3.64372469635628,17.9203539823009,47.6010101010101,45.9,97.0959595959596,0,0.252525252525253,0.631313131313131,1.51515151515152,2.33160621761658,3.77358490566038,2.49,"TOWN OF BARKSDALE BAYFIELD","4002",143.487880987147,5.51962991265405
"87","5500704750","06000US5500704750",812,31142,26905,2.07253886010363,32.8912466843501,49.7536945812808,61.3,97.4137931034483,0.862068965517241,0,1.35467980295567,0.369458128078818,6.47571606475716,3.18627450980392,1.99,"TOWN OF BARNES BAYFIELD","4004",322.532542230062,2.51757541854738
"88","5500705350","06000US5500705350",544,26153,23409,3.82352941176471,36.8421052631579,47.7941176470588,52.3,67.8308823529412,5.51470588235294,1.28676470588235,3.49264705882353,20.0367647058824,7.86516853932584,15.7509157509158,1.99,"CITY OF BAYFIELD BAYFIELD","4206",0.307904721157484,1766.78031423156
"89","5500705375","06000US5500705375",746,29420,25643,12.4069478908189,39.7142857142857,54.1554959785523,60.1,78.4182305630027,3.75335120643432,0,0,16.2198391420912,12.9251700680272,6.06936416184971,2.16,"TOWN OF BAYFIELD BAYFIELD","4006",231.280082366058,3.2255263504242
"90","5500705475","06000US5500705475",421,39117,36193,2.10084033613445,44.2553191489362,51.7814726840855,55.3,86.6983372921615,0,1.18764845605701,1.90023752969121,7.60095011876485,8.12807881773399,5.26315789473684,2.01,"TOWN OF BAYVIEW BAYFIELD","4008",107.580612086188,3.913344531473
"91","5500706200","06000US5500706200",232,32619,29231,2.27272727272727,28.4552845528455,53.8793103448276,60.6,98.2758620689655,0,0,2.58620689655172,0,6.95652173913043,3.59712230215827,1.67,"TOWN OF BELL BAYFIELD","4010",156.227579261088,1.48501308858074
"92","5500711675","06000US5500711675",821,23555,22460,4.7008547008547,23.2967032967033,48.2338611449452,54.3,91.7174177831912,1.58343483556638,0,0.609013398294762,5.96833130328867,14.2326732673267,12.2596153846154,1.97,"TOWN OF CABLE BAYFIELD","4012",185.318756472488,4.43020456011901
"93","5500715750","06000US5500715750",214,30160,26354,5.38461538461539,37.1900826446281,56.0747663551402,59.8,94.8598130841121,0,0,0,2.80373831775701,7.54716981132075,7.69230769230769,1.83,"TOWN OF CLOVER BAYFIELD","4014",154.915045162025,1.3814023019919
"94","5500719662","06000US5500719662",260,34418,31167,3.4965034965035,31.4685314685315,50.3846153846154,58.3,96.9230769230769,0,0,0,0,10.03861003861,6.92307692307692,2,"TOWN OF DELTA BAYFIELD","4016",187.511762717905,1.38657968028996
"95","5500720887","06000US5500720887",480,26242,20081,6.73400673400673,32.258064516129,52.9166666666667,54.6,97.0833333333333,0,0.833333333333333,0,0.416666666666667,11.1842105263158,15.6118143459916,1.92,"TOWN OF DRUMMOND BAYFIELD","4018",371.468073905592,1.29217026635239
"96","5500722925","06000US5500722925",672,28866,28750,4.30839002267574,21.5189873417722,52.0833333333333,45.4,96.1309523809524,0,0.148809523809524,0.595238095238095,0.892857142857143,6.61417322834646,7.02341137123746,2.25,"TOWN OF EILEEN BAYFIELD","4020",28.0796139176974,23.9319529808943
"97","5500730175","06000US5500730175",507,25147,22222,12.3239436619718,18.4905660377358,55.6213017751479,52.1,96.0552268244576,0,0,2.36686390532544,2.16962524654832,8.01603206412826,16.1290322580645,2.04,"TOWN OF GRAND VIEW BAYFIELD","4021",277.945695239515,1.82409732794423
"98","5500736300","06000US5500736300",515,25513,26193,3.67647058823529,22.5,55.3398058252427,50.8,91.4563106796116,1.55339805825243,0.388349514563107,3.49514563106796,1.55339805825243,12.4260355029586,6.51162790697674,2.4,"TOWN OF HUGHES BAYFIELD","4022",138.732135402881,3.71218967043526
"99","5500737200","06000US5500737200",1080,28131,22083,4.25867507886435,19.9226305609284,49.4444444444444,50.4,95.5555555555556,0,0.37037037037037,0,2.59259259259259,8.52059925093633,11.5913555992141,2.12,"TOWN OF IRON RIVER BAYFIELD","4024",29.4827969557682,36.6315313170686
"100","5500739025","06000US5500739025",398,23973,26442,5.08474576271187,20.3703703703704,55.2763819095477,35.8,95.7286432160804,0,0.251256281407035,2.51256281407035,3.01507537688442,7.08661417322835,14.0127388535032,2.54,"TOWN OF KELLY BAYFIELD","4026",95.1113207408774,4.18457021624499
