"","X","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","turnout.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop.1","use.machines.prop","machine.most.used","all.machines","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","X._collegedegreepersons25._2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010"
"21",21,"Forest",2016,1583,35.12,2787,61.84,137,3.04,1204,26.72,"Rep","Trump",4507,61.5290102389079,7325,-17.0529776247849,15.1102237521515,1.94275387263339,-2.94595161433115,1457,32.1632013769363,-141,-2.94595161433115,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no optical scanners","5730","78.66%","1,583","2,787",137,"4,507",-1204,"-34.72%","28.31%","168.63%","-3.03%","35.12%","61.84%","3.04%","0.15%",0,1,2,"2,425","2,172","51","4,648","52.17%","46.73%","1.10%","0.15%",1,2,9127,7238,9304,20.7,81.7,1,72,80.9,5855,1382,12.2,883,4.2,80.9,7.2,39963,9.2
"22",22,"Grant",2016,10047,41.77,12347,51.34,1657,6.89,2300,9.57,"Rep","Trump",24051,58.174297946448,41343,-14.2923556581986,9.04785219399538,5.24450346420323,-1.42066862846352,5639,23.340207852194,-197,-1.42066862846352,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.192307692307692,"ES&S","Some or no optical scanners","29547","81.40%","10,047","12,347",1657,"24,051",-2300,"-26.09%","20.40%","315.29%","-0.81%","41.77%","51.34%","6.89%","0.82%",0,1,2,"13,594","10,255","399","24,248","56.06%","42.29%","1.65%","0.79%",1,2,51829,41100,51208,20.7,97,1.2,493,95.8,39374,1726,19.1,7850,22.8,79.8,4.2,46963,44.7
"23",23,"Green",2016,9121,48.54,8693,46.26,977,5.2,-428,-2.28,"Dem","Clinton",18791,65.9981736442821,28472,-9.45606665976607,5.59650760790808,3.85955905185799,-2.95725264314518,2921,15.0525742676742,-531,-2.95725264314518,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","21670","86.71%","9,121","8,693",977,"18,791",428,"-18.61%","10.64%","277.22%","-2.75%","48.54%","46.26%","5.20%","0.64%",1,0,1,"11,206","7,857","259","19,322","58.00%","40.66%","1.34%","0.63%",1,2,37063,28427,36842,23.3,97.6,0.6,171,94.9,26978,1450,20.6,5856,18.6,158.2,3.9,55584,63.1
"24",24,"Green Lake",2016,2700,28.99,6210,66.67,405,4.35,3510,37.68,"Rep","Trump",9315,62.0668976545842,15008,-10.2141343669251,6.90772609819122,3.31640826873385,-3.43750315787347,1521,17.1218604651163,-360,-3.43750315787347,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.5625,"ES&S","Some or no optical scanners","11154","83.51%","2,700","6,210",405,"9,315",-3510,"-28.82%","7.40%","305.00%","-3.72%","28.99%","66.67%","4.35%","0.32%",0,0,2,"3,793","5,782","100","9,675","39.20%","59.76%","1.03%","0.32%",0,2,18836,14523,19051,22.9,97.6,0.6,87,93.3,13550,973,16.6,2411,13.9,155.5,5,46994,54.5
"25",25,"Iowa",2016,6669,55.01,4809,39.67,645,5.31,-1860,-15.34,"Dem","Clinton",12123,66.6355191557192,18193,-9.65411361097814,5.46703207276209,4.17708153821605,-3.36727336033773,1958,15.1211456837402,-411,-3.36727336033773,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.16,"ES&S","Some or no optical scanners","14415","84.10%","6,669","4,809",645,"12,123",1860,"-17.72%","12.18%","354.23%","-3.28%","55.01%","39.67%","5.32%","0.41%",1,0,2,"8,105","4,287","142","12,534","64.66%","34.20%","1.13%","0.41%",1,2,23825,18178,23687,23.7,97.8,0.5,91,96.3,17506,673,21.7,3945,26,192.6,3.6,55659,31.1
"26",26,"Iron",2016,1273,36.61,2090,60.11,114,3.28,817,23.5,"Rep","Trump",3477,69.9034981905911,4974,-12.5089427312775,10.825859030837,1.68308370044053,-4.29466319858155,811,23.3348017621145,-155,-4.29466319858155,2,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",0,NA,"Some or no optical scanners","4259","81.64%","1,273","2,090",114,"3,477",-817,"-28.64%","16.76%","96.55%","-4.27%","36.61%","60.11%","3.28%","0.12%",0,0,2,"1,784","1,790","58","3,632","49.12%","49.28%","1.60%","0.12%",0,2,5917,4976,5916,15.9,97.3,0.2,10,96.8,4817,159,20.8,1035,30.2,484,3.8,39051,7.8
"27",27,"Jackson",2016,3821,41.52,4907,53.33,474,5.14,1086,11.81,"Rep","Trump",9202,56.8094826521793,16198,-15.3682207666702,11.4530537957693,3.90516697090089,-1.61219729261716,2484,26.8212745624396,-111,-1.61219729261716,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.037037037037037,"ES&S","Some or no optical scanners","11091","82.97%","3,821","4,907",474,"9,202",-1086,"-27.88%","25.82%","312.17%","-1.19%","41.52%","53.33%","5.15%","0.31%",0,1,2,"5,298","3,900","115","9,313","56.89%","41.88%","1.23%","0.30%",1,2,20652,15985,20449,22.6,88.9,2.1,336,86.8,13875,2110,14.8,2366,6.6,41.3,5.8,44149,20.7
"28",28,"Jefferson",2016,16559,39.12,23409,55.31,2356,5.56,6850,16.19,"Rep","Trump",42324,64.8593977472991,65255,-6.40291050337617,2.20144328267203,4.19146722070414,-4.09049481288281,3491,8.6043537860482,-1957,-4.09049481288281,1,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","50796","83.32%","16,559","23,409",2356,"42,324",-6850,"-17.85%","-0.46%","288.78%","-4.42%","39.12%","55.31%","5.57%","1.44%",0,0,1,"20,158","23,517","606","44,281","45.52%","53.11%","1.37%","1.44%",0,2,84395,65237,83686,22.7,96.6,1,652,90.3,58909,6328,23,15005,9.3,90.3,3.3,53454,150.4
"29",29,"Juneau",2016,4100,34.94,7188,61.25,448,3.82,3088,26.31,"Rep","Trump",11736,54.353464246017,21592,-17.83754291029,15.49875285364,2.34879005665004,-1.30300634221825,3919,33.33629576393,-91,-1.30300634221825,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0357142857142857,"ES&S","Some or no optical scanners","13820","84.92%","4,100","7,188",448,"11,736",-3088,"-34.32%","32.84%","157.47%","-0.77%","34.94%","61.25%","3.82%","0.40%",0,1,2,"6,242","5,411","174","11,827","52.78%","45.75%","1.47%","0.39%",1,2,26395,21010,26664,20.4,94.4,2.4,504,92,19330,1681,12.4,2605,11.5,38.3,7.1,45297,34.8
"30",30,"Kenosha",2016,35770,47.17,36025,47.51,4030,5.31,255,0.339999999999996,"Rep","Trump",75825,59.9824383761035,126412,-8.29188362980086,4.27353882096988,4.00834480883098,-5.04207733806736,10145,12.5654224507707,-5072,-5.04207733806736,4,"Mostly Dem","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9
