"muni_county_2016","hindi","MCD_FIPS"
"VILLAGE OF SUAMICO BROWN","5178",5500977975
"VILLAGE OF WRIGHTSTOWN BROWN","5191",5500989150
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF DE PERE BROWN","5216",5500919775
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
