"","X","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality.1","county.1","hand","os.use","tch.use","bmd.use"
"731",731,"TOWN OF HONEY CREEK SAUK",200,47.39336492891,30,422,7.10900473933649,511,192,45.4976303317536,254,4,431,173,84.3444227005871,58.9327146171694,40.1392111368909,0.928074245939675,-54,19,26,-11.5393496882594,5.35841919486261,6.18093049339682,82.5831702544031,-1.76125244618396,1,1,"SAUK","TOWN OF HONEY CREEK","TOWN OF HONEY CREEK WARD 1",1,"ES&S","ES&S DS200","ES&S ExpressVote","TOWN OF HONEY CREEK SAUK",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5511135625,1,482,"Wisconsin","Sauk Town","Honey Creek","Ballot Marking Device or System","Yes","Town","TOWN OF HONEY CREEK","SAUK",0,1,0,1
"732",732,"TOWN OF HORTONIA OUTAGAMIE",177,27.8301886792453,32,636,5.0314465408805,752,427,67.1383647798742,207,3,619,409,82.313829787234,33.4410339256866,66.0743134087238,0.484652665589661,-30,18,29,-5.61084524644131,1.06405137115046,4.54679387529084,84.5744680851064,2.26063829787233,0,0,"OUTAGAMIE","TOWN OF HORTONIA","TOWN OF HORTONIA WARDS 1-2",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF HORTONIA OUTAGAMIE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5508735825,1,692,"Wisconsin","Outagamie Town","Hortonia","Optical Scan","Yes","Town","TOWN OF HORTONIA","OUTAGAMIE",0,1,1,0
"733",733,"TOWN OF HOW OCONTO",71,22.4683544303797,16,316,5.06329113924051,369,229,72.4683544303797,110,10,326,206,88.3468834688347,33.7423312883436,63.1901840490798,3.06748466257669,-39,23,6,-11.2739768579638,9.27817038129999,1.99580647666382,85.6368563685637,-2.71002710027101,0,0,"OCONTO","TOWN OF HOW","TOWN OF HOW WARDS 1-2",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","TOWN OF HOW OCONTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5508335925,1,372,"Wisconsin","Oconto Town","How","DRE-Touchscreen","Yes","Town","TOWN OF HOW","OCONTO",0,1,1,0
"734",734,"TOWN OF HOWARD CHIPPEWA",134,32.2115384615385,37,416,8.89423076923077,535,245,58.8942307692308,211,5,410,194,76.6355140186916,51.4634146341463,47.3170731707317,1.21951219512195,-77,51,32,-19.2518761726079,11.5771575984991,7.67471857410882,77.7570093457944,1.12149532710281,0,1,"CHIPPEWA","TOWN OF HOWARD","TOWN OF HOWARD WARD 1",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF HOWARD CHIPPEWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5501736000,1,508,"Wisconsin","Chippewa Town","Howard","DRE-Touchscreen","Yes","Town","TOWN OF HOWARD","CHIPPEWA",0,1,1,0
"735",735,"TOWN OF HUBBARD DODGE",298,28.5167464114833,48,1045,4.5933014354067,1259,699,66.88995215311,381,9,1057,667,83.95552025417,36.0454115421003,63.1031220435194,0.851466414380322,-83,32,39,-7.52866513061704,3.78683010959065,3.74183502102638,83.0023828435266,-0.953137410643365,0,0,"DODGE","TOWN OF HUBBARD","TOWN OF HUBBARD WARDS 1-4",1,"Dominion","Dominion (Premier)-Accuvote-OS","Dominion (Premier)-Accuvote TSX","TOWN OF HUBBARD DODGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5502736100,2,1175,"Wisconsin","Dodge Town","Hubbard","DRE-Touchscreen","Yes","Town","TOWN OF HUBBARD","DODGE",0,1,1,0
"736",736,"TOWN OF HUBBARD RUSK",21,21.4285714285714,8,98,8.16326530612245,111,69,70.4081632653061,49,3,102,50,91.8918918918919,48.0392156862745,49.0196078431373,2.94117647058824,-28,19,5,-26.6106442577031,21.3885554221689,5.22208883553421,88.2882882882883,-3.60360360360362,0,0,"RUSK","TOWN OF HUBBARD","TOWN OF HUBBARD WARD 1",0,NA,NA,NA,"TOWN OF HUBBARD RUSK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5510736125,1,111,"Wisconsin","Rusk Town","Hubbard","DRE-Touchscreen","Yes","Town","TOWN OF HUBBARD","RUSK",1,0,1,0
"737",737,"TOWN OF HUDSON ST. CROIX",1760,35.1578106272473,379,5006,7.57091490211746,6249,2867,57.2712744706352,1866,70,4947,3011,79.1646663466154,37.7198302001213,60.8651708105923,1.41499898928644,-106,-144,309,-2.56201957287398,-3.59389633995704,6.15591591283102,80.1088174107857,0.944151064170285,0,0,"ST. CROIX","TOWN OF HUDSON","TOWN OF HUDSON WARDS 1-14",1,"Dominion","Dominion (Premier)/Command Central-Accuvote-OS","Dominion (Sequoia)/Command Central-Edge","TOWN OF HUDSON ST. CROIX",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510936275,1,5914,"Wisconsin","St. Croix Town","Hudson","Optical Scan","Yes","Town","TOWN OF HUDSON","ST. CROIX",0,1,0,1
"738",738,"TOWN OF HUGHES BAYFIELD",130,43.4782608695652,6,299,2.0066889632107,332,163,54.5150501672241,168,4,299,127,90.0602409638554,56.1872909698997,42.4749163879599,1.33779264214047,-38,36,2,-12.7090301003344,12.0401337792642,0.668896321070234,90.0602409638554,0,0,1,"BAYFIELD","TOWN OF HUGHES","TOWN OF HUGHES WARD 1",0,NA,NA,NA,"TOWN OF HUGHES BAYFIELD",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500736300,1,333,"Wisconsin","Bayfield Town","Hughes","Ballot Marking Device or System","Yes","Town","TOWN OF HUGHES","BAYFIELD",1,0,0,1
"739",739,"TOWN OF HULL MARATHON",68,21.7948717948718,18,312,5.76923076923077,340,226,72.4358974358974,85,2,301,214,88.5294117647059,28.2392026578073,71.0963455149502,0.664451827242525,-17,12,16,-6.44433086293552,1.33955192094726,5.10477894198824,91.7647058823529,3.23529411764706,0,0,"MARATHON","TOWN OF HULL","TOWN OF HULL WARD 1",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF HULL MARATHON",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5507336325,1,340,"Wisconsin","Marathon Town","Hull","Ballot Marking Device or System","Yes","Town","TOWN OF HULL","MARATHON",0,1,0,1
"740",740,"TOWN OF HULL PORTAGE",1512,46.6234967622572,173,3243,5.3345667591736,3674,1558,48.0419364785692,1722,45,3242,1475,88.2416984213391,53.1153608883405,45.4966070326959,1.3880320789636,-210,83,128,-6.49186412608336,2.54532944587336,3.94653468021,88.2689167120305,0.0272182906913514,0,1,"PORTAGE","TOWN OF HULL","TOWN OF HULL WARDS 1-3",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF HULL PORTAGE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5509736350,3,3672,"Wisconsin","Portage Town","Hull","Optical Scan","Yes","Town","TOWN OF HULL","PORTAGE",0,1,0,1
"741",741,"TOWN OF HUMBOLDT BROWN",222,29.6791443850267,38,748,5.08021390374332,933,488,65.24064171123,326,9,756,421,81.0289389067524,43.1216931216931,55.6878306878307,1.19047619047619,-104,67,29,-13.4425487366664,9.55281102339927,3.88973771326712,80.1714898177921,-0.857449088960351,0,0,"BROWN","TOWN OF HUMBOLDT","TOWN OF HUMBOLDT WARDS 1-2",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF HUMBOLDT BROWN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500936425,1,875,"Wisconsin","Brown Town","Humboldt","Ballot Marking Device or System","Yes","Town","TOWN OF HUMBOLDT","BROWN",0,1,0,1
