,MCD_FIPS,county,muni_county,democrat_votes.perc,republican_votes.perc,other_votes.perc,dem.change.perc,rep.change.perc,oth.change.perc,tch_prop,os_prop,paper_prop,counted_absent_prop,rejected_absent_prop,absentee_person_prop,sameday_reg_prop,turnout_reg_feb,votes.tot2016,inspector_prop,dem.perc2012,rep.perc2012,oth.perc2012,votes.tot2012,pct_hs,inspector_prop_2012,total_ballots,registrants,late_registrants,tch_prop_2012,os_prop_2012,paper_prop_2012,automark_prop_2012,total_ballots_2012,turnout_reg_2012,counted_absent_prop_2012,rejected_absent_prop_2012,absentee_person_prop_2012,registrants_2012,late_registrants_2012,sameday_reg_prop_2012,pop,inc_2015,unemp_rate,pct_graduate,coll_deg_plus25_2013,pct_white,pct_black,pct_latino,pct_male,age_med,house_size_ave,municipality_reprim,votes_rec_cruz_reprim,votes_rec_kasich_reprim,votes_rec_other_reprim,votes_rec_trump_reprim,votes_tot_reprim,votes_perc_cruz_reprim,votes_perc_kasich_reprim,votes_perc_other_reprim,votes_perc_trump_reprim,trump_prim_won_reprim,total_ballots_reprim,tch_prop_reprim,turnout_perc_reprim,sameday_reg_prop_reprim,counted_absent_prop_reprim,rejected_absent_prop_reprim,registrants_reprim,late_registrants_reprim,trump_vote_diff,tch_prop_reprim_diff,municipality_demprim,votes_rec_clinton_demprim,votes_rec_other_demprim,votes_rec_sanders_demprim,votes_tot_demprim,votes_perc_clinton_demprim,votes_perc_other_demprim,votes_perc_sanders_demprim,clinton_prim_won_demprim,total_ballots_demprim,tch_prop_demprim,turnout_perc_demprim,sameday_reg_prop_demprim,counted_absent_prop_demprim,rejected_absent_prop_demprim,registrants_demprim,late_registrants_demprim,Total.Voter.Reg_demprim,TotalTurnout_2016_demprim,clinton_vote_diff,tch_prop_demprim_diff,trump_prim_2012_vote_diff,clinton_prim_2012_vote_diff,tch_prop_2012_reprim_diff,tch_prop_2012_demprim_diff,tch_prop_2012_2016_diff,os_model_off,tch_bmd_model_off,tch_use_off,bmd_use_off,os_use_off,tch_model_off,bmd_model_off,tch_use_off_true,tch_model_off_full,demwinner,demwinner2012,muni.dense
1465,5500901150,BROWN,VILLAGE OF ALLOUEZ BROWN,45.79310345,47.21003135,6.996865204,-4.231478656,-1.708356066,5.939834722,0,0.881557733,0,0.502294431,0.000248047,0.85970516,0.069225417,0.93494898,7975,0.008185539,50.0245821,48.91838741,1.057030482,8136,31.8,0.007784941,8063,8624,0.029641573,0,1,0,0,8221,0.783848207,0.448850505,0.00012164,0.779752289,10488,0.023719742,0.079309086,13947,30365,2.835085851,34.3786295,34.3786295,86.06868861,5.678640568,4.775220478,54.07614541,40.5,2.38,VILLAGE OF ALLOUEZ,1623,442,77,1058,3200,50.71875,13.8125,2.40625,33.0625,0,1527,0,0.176797499,0.00613639,0.152586771,0.000654879,8637,0.014407335,14.14753135,0,VILLAGE OF ALLOUEZ,1202,4,1551,2757,43.59811389,0.145085238,56.25680087,0,1527,0,0.176797499,0.00613639,0.152586771,0.000654879,8637,0.014407335,150152,84.91%,2.194989556,0,-15.85588741,-6.426468212,0,0,0,ES&S DS200,ES&S Automark,0,1,1,NA,ES&S Automark,0,aNone,0,1,1045.614746
1466,5505301300,JACKSON,VILLAGE OF ALMA CENTER JACKSON,45,47.27272727,7.727272727,-13.72340426,7.272727273,6.450676983,0.959090909,0,0.040909091,0.027272727,0,0.166666667,0.114068441,0.836501901,220,0.027272727,58.72340426,40,1.276595745,235,42.8,0.016877637,220,263,0.004545455,0.919831224,0,0.080168776,0,237,0.771986971,0.063291139,0.008438819,0.411764706,307,0.021097046,0.046413502,514,17422,2.120141343,22.74678112,22.74678112,96.692607,0,4.6692607,46.88715953,34,2.61,VILLAGE OF ALMA CENTER,38,5,6,36,85,44.70588235,5.882352941,7.058823529,42.35294118,0,37,0.972972973,0.139622642,0.00754717,0.027027027,0,265,0,4.919786096,-0.013882064,VILLAGE OF ALMA CENTER,42,0,55,97,43.29896907,0,56.70103093,0,37,0.972972973,0.139622642,0.00754717,0.027027027,0,265,0,11091,82.97%,1.701030928,-0.013882064,2.352941176,-15.42443518,0.053141749,0.053141749,0.039259685,NA,Dominion (Sequoia)/Command Central-Edge,1,0,0,Dominion (Sequoia)/Command Central-Edge,NA,1,Dominion (Sequoia)/Command Central-Edge,0,1,197.9396925
1467,5500501325,BARRON,VILLAGE OF ALMENA BARRON,24.42244224,68.97689769,6.600660066,-21.59205051,15.71602812,5.876022385,0.904290429,0,0.095709571,0,0,0.947368421,0.188235294,0.891176471,303,0.03630363,46.01449275,53.26086957,0.724637681,276,40.8,0.032490975,303,340,0.01320132,0.85198556,0,0.14801444,0,277,0.78028169,0.057761733,0,0.6875,355,0.003610108,0.144404332,684,18883,4.215456674,8.767123288,8.767123288,89.03508772,1.900584795,7.16374269,55.84795322,37.8,2.33,VILLAGE OF ALMENA,56,2,5,54,117,47.86324786,1.709401709,4.273504274,46.15384615,0,39,0.974358974,0.12037037,0.012345679,0,0,324,0,22.82305154,-0.070068545,VILLAGE OF ALMENA,26,0,33,59,44.06779661,0,55.93220339,0,39,0.974358974,0.12037037,0.012345679,0,0,324,0,26333,85.50%,-19.64535437,-0.070068545,-7.107023411,-1.946696143,0.122373415,0.122373415,0.052304869,NA,Dominion (Sequoia)/Command Central-Edge,1,0,0,Dominion (Sequoia)/Command Central-Edge,NA,1,Dominion (Sequoia)/Command Central-Edge,0,0,234.2438683
1468,5509701400,PORTAGE,VILLAGE OF ALMOND PORTAGE,35.35353535,58.58585859,6.060606061,-16.72979798,11.19002525,5.539772727,0,0,1,0.03,0,0.666666667,0.132743363,0.884955752,198,0.025,52.08333333,47.39583333,0.520833333,192,34.3,0.015544041,200,226,0,0,0,1,0,193,0.893518519,0,0,0.8,216,0,0.10880829,510,21718,6.101694915,10.35856574,10.35856574,99.60784314,0,20.78431373,55.09803922,32.6,2.74,VILLAGE OF ALMOND,37,10,5,29,81,45.67901235,12.34567901,6.172839506,35.80246914,0,45,0,0.204545455,0.004545455,0.066666667,0,220,0,22.78338945,0,VILLAGE OF ALMOND,29,2,27,58,50,3.448275862,46.55172414,1,45,0,0.204545455,0.004545455,0.066666667,0,220,0,46378,82.20%,-14.64646465,0,-11.5933642,-2.083333333,0,0,0,NA,ES&S Automark,0,1,0,NA,ES&S Automark,0,aNone,0,1,187.5673994
1469,5509701750,PORTAGE,VILLAGE OF AMHERST JUNCTION PORTAGE,37.74509804,57.84313725,4.411764706,-14.01369593,11.10946891,2.904227017,0,0,1,0,0.082926829,0.764705882,Inf,Inf,204,0.014634146,51.75879397,46.73366834,1.507537688,199,34.3,0.015075377,205,0,0.029268293,0,0,1,0,199,0.868995633,0.055276382,0,0.454545455,229,0,0.100502513,1220,20145,7.153965785,19.40298507,19.40298507,96.63934426,0.983606557,2.786885246,50.08196721,32.6,2.6,VILLAGE OF AMHERST JUNCTION,48,14,1,37,100,48,14,1,37,0,46,0,0.206278027,0.031390135,0.043478261,0,223,0,20.84313725,0,VILLAGE OF AMHERST JUNCTION,33,0,23,56,58.92857143,0,41.07142857,1,46,0,0.206278027,0.031390135,0.043478261,0,223,0,46378,82.20%,-21.18347339,0,-9.733668342,7.169777459,0,0,0,NA,ES&S Automark,0,1,0,NA,ES&S Automark,0,aNone,0,1,355.4621286
1470,5509701775,PORTAGE,VILLAGE OF AMHERST PORTAGE,46.37168142,46.01769912,7.610619469,-8.806890013,2.267699115,6.539190898,0,0,1,0.13884007,0,1,0.084444444,0.842962963,565,0.021089631,55.17857143,43.75,1.071428571,560,34.3,0.026595745,569,675,0.005272408,0,0,1,0,564,0.88125,0.115248227,0,0.545454545,640,0.014184397,0.088652482,1356,31179,5.144291092,27.10280374,27.10280374,96.5339233,0.81120944,0,52.72861357,45,2.55,VILLAGE OF AMHERST,77,17,9,80,183,42.07650273,9.289617486,4.918032787,43.71584699,1,133,0,0.207165109,0.00623053,0.090225564,0,642,0.007518797,2.301852121,0,VILLAGE OF AMHERST,84,2,141,227,37.00440529,0.881057269,62.11453744,0,133,0,0.207165109,0.00623053,0.090225564,0,642,0.007518797,46378,82.20%,9.36727613,0,-0.034153005,-18.17416614,0,0,0,NA,ES&S Automark,0,1,0,NA,ES&S Automark,0,aNone,1,1,12.06162321
1471,5511502075,SHAWANO,VILLAGE OF ANIWA SHAWANO,30.09708738,61.16504854,8.737864078,-15.66562449,7.775218035,7.890406451,0.912621359,0,0.087378641,0.058252427,0,0,0.082089552,0.768656716,103,0.077669903,45.76271186,53.38983051,0.847457627,118,45.4,0.084745763,103,134,0,0.898305085,0,0.101694915,0,118,0.951612903,0.076271186,0,0.111111111,124,0.033898305,0.101694915,243,17204,11.19402985,5.084745763,5.084745763,93.00411523,0.823045267,0.411522634,57.20164609,42.4,2.53,VILLAGE OF ANIWA,15,6,2,20,43,34.88372093,13.95348837,4.651162791,46.51162791,1,25,1,0.192307692,0.015384615,0,0,130,0,14.65342064,-0.087378641,VILLAGE OF ANIWA,14,0,14,28,50,0,50,0,25,1,0.192307692,0.015384615,0,0,130,0,23630,83.36%,-19.90291262,-0.087378641,-6.878202601,4.237288136,0.101694915,0.101694915,0.014316274,NA,Dominion (Sequoia)/Command Central-Edge,1,0,0,Dominion (Sequoia)/Command Central-Edge,NA,1,Dominion (Sequoia)/Command Central-Edge,0,0,43.43286362
1472,5504902550,IOWA,VILLAGE OF ARENA IOWA,54.92610837,36.94581281,8.128078818,-16.21025526,9.673085535,6.537169727,0.844660194,0,0.155339806,0.104368932,0,0.674418605,0.099585062,0.854771784,406,0.009708738,71.13636364,27.27272727,1.590909091,440,35.7,0.011312217,412,482,0,0.819004525,0,0.180995475,0,442,0.873517787,0.104072398,0.002262443,0.617021277,506,0.00678733,0.124434389,820,21933,7.809110629,16.62591687,16.62591687,98.04878049,0.853658537,0.487804878,50.12195122,36.9,2.48,VILLAGE OF ARENA,50,20,7,35,112,44.64285714,17.85714286,6.25,31.25,0,95,0.873684211,0.179245283,0.013207547,0.010526316,0,530,0,5.695812808,-0.029024016,VILLAGE OF ARENA,59,2,129,190,31.05263158,1.052631579,67.89473684,0,95,0.873684211,0.179245283,0.013207547,0.010526316,0,530,0,14415,84.10%,23.8734768,-0.029024016,3.977272727,-40.08373206,0.054679686,0.054679686,0.025655669,NA,Dominion (Sequoia)/Command Central-Edge,1,0,0,Dominion (Sequoia)/Command Central-Edge,NA,1,Dominion (Sequoia)/Command Central-Edge,1,1,273.9547958
1473,5506502650,LAFAYETTE,VILLAGE OF ARGYLE LAFAYETTE,53.91061453,38.26815642,7.82122905,-13.24624822,6.895607405,6.350640815,0.863888889,0,0.136111111,0.075,0,0.62962963,0.107623318,0.807174888,358,0.008333333,67.15686275,31.37254902,1.470588235,408,42.9,0.007334963,360,446,0,0.858190709,0,0.141809291,0,409,0.853862213,0.075794621,0,0.258064516,479,0.007334963,0.095354523,785,20972,5.324074074,11.36363636,11.36363636,98.85350318,0,1.146496815,46.49681529,42.2,2.12,VILLAGE OF ARGYLE,44,21,6,53,124,35.48387097,16.93548387,4.838709677,42.74193548,1,64,0.8125,0.143497758,0.002242152,0.125,0,446,0,-4.473779059,0.051388889,VILLAGE OF ARGYLE,78,0,94,172,45.34883721,0,54.65116279,0,64,0.8125,0.143497758,0.002242152,0.125,0,446,0,9273,81.98%,8.561777316,0.051388889,11.36938646,-21.80802554,-0.045690709,-0.045690709,0.00569818,NA,Dominion (Sequoia)/Command Central-Edge,1,0,0,Dominion (Sequoia)/Command Central-Edge,NA,1,Dominion (Sequoia)/Command Central-Edge,1,1,482.2338296
1474,5502102800,COLUMBIA,VILLAGE OF ARLINGTON COLUMBIA,45.56962025,47.89029536,6.540084388,-10.77133609,4.854952323,5.916383764,0,1,0,0.063157895,0,0.866666667,0.119460501,0.91522158,474,0.006315789,56.34095634,43.03534304,0.623700624,481,35.4,0.01242236,475,519,0.136842105,0,1,0,0,483,0.981707317,0.078674948,0,0.846153846,492,0.008281573,0.060041408,860,29938,3.667953668,19.61206897,19.61206897,97.09302326,0,5.697674419,48.8372093,35.7,2.69,VILLAGE OF ARLINGTON,74,27,4,73,178,41.57303371,15.16853933,2.247191011,41.01123596,0,102,0,0.200392927,0.00589391,0.009803922,0,509,0,6.879059404,0,VILLAGE OF ARLINGTON,47,0,90,137,34.30656934,0,65.69343066,0,102,0,0.200392927,0.00589391,0.009803922,0,509,0,34751,84.28%,11.26305091,0,-2.02410708,-22.034387,0,0,0,ES&S M100,ES&S Automark,0,1,1,NA,ES&S Automark,0,aNone,0,1,323.0891389
1475,5514103025,WOOD,VILLAGE OF ARPIN WOOD,30.59701493,59.70149254,9.701492537,-30.39589288,22.82205991,7.573832963,0,1,0,0.067164179,0,0.444444444,0.083798883,0.748603352,134,0.029850746,60.9929078,36.87943262,2.127659574,141,39.2,0.021126761,134,179,0,0,1,0,0,142,0.825581395,0.042253521,0.007042254,0.571428571,172,0.007042254,0.147887324,319,22761,7.211538462,7.065217391,7.065217391,94.35736677,0.940438871,0.626959248,55.48589342,38.3,2.34,VILLAGE OF ARPIN,32,0,2,42,76,42.10526316,0,2.631578947,55.26315789,1,18,0,0.108433735,0,0.111111111,0,166,0,4.438334643,0,VILLAGE OF ARPIN,12,0,31,43,27.90697674,0,72.09302326,0,18,0,0.108433735,0,0.111111111,0,166,0,43433,86.83%,2.690038181,0,18.38372527,-33.08593106,0,0,0,ES&S DS200,ES&S Automark,0,1,1,NA,ES&S Automark,0,aNone,0,1,149.453049
