OBJECTID,GEOID,B03001e1,B03001m1,B03001e2,B03001m2,B03001e3,B03001m3,B03001e4,B03001m4,B03001e5,B03001m5,B03001e6,B03001m6,B03001e7,B03001m7,B03001e8,B03001m8,B03001e9,B03001m9,B03001e10,B03001m10,B03001e11,B03001m11,B03001e12,B03001m12,B03001e13,B03001m13,B03001e14,B03001m14,B03001e15,B03001m15,B03001e16,B03001m16,B03001e17,B03001m17,B03001e18,B03001m18,B03001e19,B03001m19,B03001e20,B03001m20,B03001e21,B03001m21,B03001e22,B03001m22,B03001e23,B03001m23,B03001e24,B03001m24,B03001e25,B03001m25,B03001e26,B03001m26,B03001e27,B03001m27,B03001e28,B03001m28,B03001e29,B03001m29,B03001e30,B03001m30,B03001e31,B03001m31,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
1013,06000US5507529775,734,120,725,118,9,9,9,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,734,120,725,118,721,117,3,5,0,9,0,9,0,9,0,9,1,4,0,9,1,4,9,9,7,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,734,120,725,118,9,9
1014,06000US5507531725,1627,154,1625,154,2,5,2,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1627,154,1625,154,1597,159,0,9,0,9,5,8,0,9,0,9,23,21,0,9,23,21,2,5,2,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1627,154,1625,154,2,5
1015,06000US5507541075,1058,150,1054,150,4,9,4,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1058,150,1054,150,1045,149,0,9,3,4,0,9,0,9,0,9,6,8,0,9,6,8,4,9,4,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1058,150,1054,150,4,9
1016,06000US5507549300,10863,24,10561,124,302,126,229,130,0,14,4,11,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,13,22,0,14,13,22,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,56,76,56,76,0,14,0,14,0,14,10863,24,10561,124,10083,157,115,40,51,46,63,42,0,14,0,14,249,87,0,14,249,87,302,126,157,79,0,14,6,11,0,14,0,14,139,120,0,14,0,14,0,14,10863,24,10561,124,302,126
1017,06000US5507551537,897,107,897,107,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,897,107,897,107,881,107,0,9,6,7,0,9,0,9,0,9,10,10,4,6,6,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,897,107,897,107,0,9
1018,06000US5507557325,1584,141,1573,141,11,14,11,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1584,141,1573,141,1546,139,0,9,2,5,2,5,2,4,0,9,21,21,0,9,21,21,11,14,11,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1584,141,1573,141,11,14
1019,06000US5507557350,868,105,868,105,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,868,105,868,105,859,105,0,9,2,3,1,2,0,9,0,9,6,10,0,9,6,10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,868,105,868,105,0,9
1020,06000US5507561775,861,160,861,160,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,861,160,861,160,844,158,0,9,3,4,0,9,0,9,0,9,14,11,0,9,14,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,861,160,861,160,0,9
1021,06000US5507562175,3458,17,3377,75,81,75,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,32,29,0,9,0,9,0,9,0,9,32,29,0,9,0,9,0,9,0,9,0,9,49,72,0,9,49,72,0,9,0,9,3458,17,3377,75,3252,102,6,9,28,36,78,65,0,9,0,9,13,19,0,9,13,19,81,75,81,75,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3458,17,3377,75,81,75
1022,06000US5507562200,4025,36,3990,42,35,32,18,22,11,17,0,9,0,9,6,12,0,9,6,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4025,36,3990,42,3917,74,0,9,0,9,39,45,0,9,0,9,34,35,0,9,34,35,35,32,24,24,11,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4025,36,3990,42,35,32
1023,06000US5507564275,1792,152,1784,152,8,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,8,12,8,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1792,152,1784,152,1779,150,0,9,5,7,0,9,0,9,0,9,0,9,0,9,0,9,8,12,8,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1792,152,1784,152,8,12
1024,06000US5507564750,504,87,448,74,56,43,48,41,0,9,0,9,0,9,8,15,0,9,0,9,8,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,504,87,448,74,436,70,0,9,0,9,1,2,0,9,0,9,11,13,0,9,11,13,56,43,45,41,0,9,0,9,0,9,0,9,10,17,1,2,1,2,0,9,504,87,448,74,56,43
1025,06000US5507564775,1450,140,1396,149,54,66,51,66,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1450,140,1396,149,1366,146,0,9,3,6,0,9,0,9,0,9,27,34,0,9,27,34,54,66,8,8,0,9,0,9,0,9,0,9,46,66,0,9,0,9,0,9,1450,140,1396,149,54,66
1026,06000US5507573975,483,66,483,66,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,483,66,483,66,464,59,0,9,8,9,0,9,0,9,0,9,11,16,0,9,11,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,483,66,483,66,0,9
1027,06000US5507577000,2981,22,2981,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2981,22,2981,22,2928,52,13,28,14,14,19,29,7,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2981,22,2981,22,0,9
1028,06000US5507583050,627,73,627,73,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,627,73,627,73,625,73,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,627,73,627,73,0,9
1029,06000US5507584525,479,90,479,90,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,479,90,479,90,433,71,0,9,17,27,10,16,0,9,0,9,19,18,0,9,19,18,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,479,90,479,90,0,9
1030,06000US5507584550,1145,140,1145,140,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1145,140,1145,140,1131,141,3,5,5,6,2,5,0,9,0,9,4,4,0,9,4,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1145,140,1145,140,0,9
1031,06000US5507711050,1165,138,1154,136,11,14,11,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1165,138,1154,136,1142,135,0,9,0,9,0,9,0,9,0,9,12,13,0,9,12,13,11,14,11,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1165,138,1154,136,11,14
1032,06000US5507717900,493,66,493,66,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,493,66,493,66,440,55,0,9,0,9,12,11,0,9,0,9,41,28,0,9,41,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,493,66,493,66,0,9
1033,06000US5507720525,651,89,638,86,13,12,5,6,6,8,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,651,89,638,86,627,83,0,9,0,9,0,9,0,9,0,9,11,13,0,9,11,13,13,12,12,12,0,9,0,9,0,9,0,9,1,2,0,9,0,9,0,9,651,89,638,86,13,12
1034,06000US5507724075,459,71,417,63,42,30,42,30,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,459,71,417,63,388,61,2,4,0,9,19,20,0,9,0,9,8,9,0,9,8,9,42,30,42,30,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,459,71,417,63,42,30
1035,06000US5507732775,854,102,842,101,12,12,0,9,12,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,854,102,842,101,837,100,5,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,12,12,12,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,854,102,842,101,12,12
1036,06000US5507750350,587,69,587,69,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,587,69,587,69,576,67,0,9,7,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,587,69,587,69,0,9
1037,06000US5507753875,1436,173,1419,168,17,18,13,16,1,2,0,9,0,9,3,6,0,9,3,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1436,173,1419,168,1355,154,29,41,5,5,15,18,0,9,0,9,15,16,0,9,15,16,17,18,13,16,0,9,0,9,0,9,0,9,1,2,3,6,0,9,3,6,1436,173,1419,168,17,18
1038,06000US5507753900,1169,178,1147,179,22,28,22,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1169,178,1147,179,1137,178,0,9,0,9,0,9,0,9,0,9,10,17,0,9,10,17,22,28,22,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1169,178,1147,179,22,28
1039,06000US5507754600,543,88,508,91,35,31,32,30,0,9,0,9,0,9,2,4,0,9,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,5,0,9,0,9,0,9,1,5,543,88,508,91,503,92,2,4,0,9,3,6,0,9,0,9,0,9,0,9,0,9,35,31,4,8,0,9,0,9,0,9,0,9,30,29,1,5,1,5,0,9,543,88,508,91,35,31
1040,06000US5507756125,385,57,385,57,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,385,57,385,57,383,57,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,385,57,385,57,0,9
1041,06000US5507756150,553,80,549,80,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,553,80,549,80,525,77,19,21,0,9,5,7,0,9,0,9,0,9,0,9,0,9,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,553,80,549,80,4,5
1042,06000US5507757225,486,75,478,72,8,9,4,8,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,2,3,0,9,0,9,0,9,486,75,478,72,471,72,2,5,0,9,0,9,0,9,0,9,5,6,0,9,5,6,8,9,8,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,486,75,478,72,8,9
1043,06000US5507760875,577,114,553,112,24,21,20,21,0,9,0,9,0,9,4,6,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,577,114,553,112,553,112,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,24,21,22,22,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,577,114,553,112,24,21
1044,06000US5507760900,832,96,829,96,3,5,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,832,96,829,96,802,92,0,9,0,9,4,6,0,9,0,9,23,23,0,9,23,23,3,5,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,832,96,829,96,3,5
1045,06000US5507760962,1270,151,1226,139,44,41,44,41,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1270,151,1226,139,1206,137,0,9,14,15,0,9,4,5,0,9,2,3,0,9,2,3,44,41,25,28,0,9,0,9,0,9,0,9,19,28,0,9,0,9,0,9,1270,151,1226,139,44,41
1046,06000US5507773600,531,94,529,94,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,531,94,529,94,529,94,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,531,94,529,94,2,3
1047,06000US5507775925,787,95,787,95,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,787,95,787,95,766,94,0,9,0,9,11,10,0,9,0,9,10,14,0,9,10,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,787,95,787,95,0,9
1048,06000US5507785575,1328,182,1211,154,117,97,117,97,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1328,182,1211,154,1205,153,0,9,0,9,0,9,0,9,0,9,6,11,0,9,6,11,117,97,21,21,0,9,0,9,0,9,0,9,96,95,0,9,0,9,0,9,1328,182,1211,154,117,97
1049,06000US5507785600,1034,207,942,195,92,77,29,29,63,80,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1034,207,942,195,876,176,5,8,8,10,0,9,0,9,0,9,53,48,0,9,53,48,92,77,92,77,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1034,207,942,195,92,77
1050,06000US5507850975,4451,0,4205,28,246,28,245,29,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,5,0,9,0,9,0,9,1,5,4451,0,4205,28,468,37,19,16,3561,43,109,5,0,9,0,9,48,35,0,9,48,35,246,28,22,22,0,9,216,37,0,9,0,9,7,12,1,5,1,5,0,9,4451,0,4205,28,246,28
1051,06000US5507900000,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1052,06000US5507905450,4449,89,4328,109,121,75,20,22,14,15,0,9,0,9,45,55,0,9,45,55,0,9,0,9,0,9,0,9,0,9,42,44,27,41,0,9,0,9,15,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4449,89,4328,109,3885,181,108,81,39,49,211,109,8,12,0,9,77,70,8,12,69,65,121,75,82,54,5,9,0,9,0,9,0,9,11,17,23,36,23,36,0,9,4449,89,4328,109,121,75
1053,06000US5507910375,12101,32,11379,359,722,365,486,344,97,88,0,14,0,14,15,23,0,14,15,23,0,14,0,14,0,14,0,14,0,14,75,87,0,14,0,14,0,14,0,14,0,14,0,14,75,87,0,14,0,14,0,14,49,45,33,38,0,14,0,14,16,24,12101,32,11379,359,6704,542,3851,523,7,15,494,329,0,14,17,28,306,203,0,14,306,203,722,365,312,172,24,42,0,14,0,14,0,14,176,200,210,277,209,277,1,2,12101,32,11379,359,722,365
1054,06000US5507917975,18347,28,15937,494,2410,494,1463,489,695,263,38,62,140,183,12,19,0,14,0,14,0,14,0,14,12,19,0,14,0,14,21,25,0,14,0,14,12,18,0,14,0,14,0,14,9,16,0,14,0,14,0,14,41,59,0,14,41,59,0,14,0,14,18347,28,15937,494,14727,593,474,176,210,214,210,175,0,14,10,15,306,181,0,14,306,181,2410,494,1489,369,67,77,0,14,0,14,0,14,656,474,198,194,58,62,140,183,18347,28,15937,494,2410,494
1055,06000US5507927075,6709,20,6596,61,113,59,29,23,19,19,9,13,0,12,14,19,0,12,14,19,0,12,0,12,0,12,0,12,0,12,22,27,6,10,0,12,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12,20,22,20,22,0,12,0,12,0,12,6709,20,6596,61,6028,199,211,108,0,12,168,112,0,12,5,7,184,106,0,12,184,106,113,59,103,54,0,12,5,9,0,12,0,12,0,12,5,10,0,12,5,10,6709,20,6596,61,113,59
1056,06000US5507927300,36103,34,34673,304,1430,295,923,239,218,93,25,28,115,148,21,27,0,18,0,18,0,18,0,18,7,13,14,21,0,18,106,106,0,18,0,18,49,75,0,18,0,18,0,18,57,73,0,18,0,18,0,18,22,24,10,16,12,19,0,18,0,18,36103,34,34673,304,29528,736,1788,315,106,65,2531,530,0,18,15,25,705,298,0,18,705,298,1430,295,1058,249,7,13,23,29,0,18,0,18,229,161,113,78,52,56,61,59,36103,34,34673,304,1430,295
1057,06000US5507929400,12914,29,12133,361,781,359,281,215,262,260,0,14,0,14,62,61,0,14,35,46,0,14,27,41,0,14,0,14,0,14,43,38,0,14,0,14,0,14,12,20,0,14,0,14,31,34,0,14,0,14,0,14,133,180,112,178,0,14,0,14,21,32,12914,29,12133,361,9767,493,1677,306,28,30,398,182,0,14,7,10,256,129,0,14,256,129,781,359,434,220,0,14,0,14,0,14,0,14,46,48,301,253,105,136,196,225,12914,29,12133,361,781,359
1058,06000US5507931125,14294,36,13784,226,510,226,405,214,93,93,0,14,0,14,12,19,0,14,12,19,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,14294,36,13784,226,12899,397,107,97,72,60,437,238,0,14,0,14,269,160,0,14,269,160,510,226,308,193,27,45,0,14,0,14,0,14,99,108,76,95,61,84,15,24,14294,36,13784,226,510,226
1059,06000US5507931175,37113,53,33341,654,3772,656,2541,488,1036,424,81,97,0,18,35,38,13,21,0,18,0,18,17,30,5,8,0,18,0,18,60,48,0,18,0,18,0,18,0,18,0,18,0,18,48,44,0,18,12,19,0,18,19,22,5,11,5,8,0,18,9,16,37113,53,33341,654,29392,874,1157,359,197,91,2088,565,0,18,45,60,462,133,13,20,449,135,3772,656,3169,653,72,66,40,49,0,18,0,18,359,154,132,65,72,49,60,47,37113,53,33341,654,3772,656
1060,06000US5507932075,7756,22,7370,249,386,245,321,231,56,59,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7756,22,7370,249,6996,294,14,18,0,12,208,187,0,12,15,24,137,90,0,12,137,90,386,245,365,243,10,16,0,12,0,12,0,12,11,17,0,12,0,12,0,12,7756,22,7370,249,386,245
1061,06000US5507953000,599498,47,491711,1409,107787,1410,72984,1719,27084,1592,567,133,662,222,2861,491,216,145,617,217,473,283,742,236,136,70,677,256,0,20,1540,351,60,35,46,39,107,70,364,119,354,189,24,22,367,208,12,14,191,123,15,25,2089,485,562,252,384,210,0,20,1143,334,599498,47,491711,1409,217679,1898,232936,1359,2870,346,21482,1210,100,39,733,232,15911,1018,428,200,15483,1008,107787,1410,63243,2112,2498,450,626,234,107,66,50,44,35458,1681,5805,797,2875,487,2930,601,599498,47,491711,1409,107787,1410
1062,06000US5507958800,34974,47,32288,532,2686,530,1889,564,543,194,0,18,0,18,47,60,0,18,44,59,0,18,0,18,0,18,3,8,0,18,61,54,12,19,0,18,18,28,8,14,0,18,0,18,23,39,0,18,0,18,0,18,146,133,106,130,40,51,0,18,0,18,34974,47,32288,532,28101,868,840,331,269,196,2710,645,0,18,0,18,368,200,0,18,368,200,2686,530,2174,536,0,18,17,27,0,18,0,18,425,219,70,67,18,28,52,61,34974,47,32288,532,2686,530
1063,06000US5507968325,1472,88,1429,94,43,28,12,11,14,14,7,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,10,9,7,7,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1472,88,1429,94,1195,104,74,73,12,13,88,43,0,9,10,11,50,34,0,9,50,34,43,28,23,16,7,9,0,9,0,9,0,9,6,8,7,9,0,9,7,9,1472,88,1429,94,43,28
1064,06000US5507970650,9549,36,8347,393,1202,391,1048,387,108,92,23,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,34,0,12,0,12,0,12,15,24,0,12,0,12,8,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9549,36,8347,393,7407,441,210,121,202,148,279,171,10,21,0,12,239,142,0,12,239,142,1202,391,1026,382,0,12,0,12,0,12,0,12,81,63,95,93,46,73,49,57,9549,36,8347,393,1202,391
1065,06000US5507973725,13284,31,12879,153,405,153,204,96,71,54,9,13,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,65,55,38,32,0,14,27,44,0,14,0,14,0,14,0,14,0,14,0,14,0,14,56,65,16,25,40,60,0,14,0,14,13284,31,12879,153,11536,316,348,107,72,57,593,192,0,14,23,28,307,120,8,12,299,119,405,153,321,141,9,15,19,38,0,14,0,14,47,53,9,15,0,14,9,15,13284,31,12879,153,405,153
1066,06000US5507975125,21229,38,19297,493,1932,494,1417,402,274,104,39,60,0,16,144,157,124,154,11,19,0,16,0,16,0,16,9,15,0,16,13,16,0,16,0,16,0,16,5,9,0,16,0,16,8,12,0,16,0,16,0,16,45,41,27,36,9,14,0,16,9,14,21229,38,19297,493,17991,523,395,135,81,49,178,155,0,16,0,16,652,190,0,16,652,190,1932,494,1642,478,11,17,32,31,0,16,0,16,157,70,90,69,44,40,46,60,21229,38,19297,493,1932,494
1067,06000US5507984675,47126,56,45739,372,1387,370,789,281,189,103,0,18,18,21,68,56,0,18,27,28,0,18,0,18,0,18,41,48,0,18,278,172,9,12,0,18,40,62,168,146,0,18,45,45,16,42,0,18,0,18,0,18,45,42,0,18,0,18,0,18,45,42,47126,56,45739,372,41067,656,2064,366,62,51,1483,462,0,18,47,55,1016,274,77,87,939,277,1387,370,969,331,37,33,39,34,0,18,0,18,181,113,161,104,98,88,63,60,47126,56,45739,372,1387,370
1068,06000US5507985300,60677,38,53935,808,6742,806,4556,776,1595,438,64,81,173,149,115,95,0,20,22,27,0,20,68,83,0,20,25,38,0,20,149,118,23,48,0,20,16,25,45,45,0,20,0,20,65,84,0,20,0,20,0,20,90,70,13,18,56,63,0,20,21,24,60677,38,53935,808,48593,966,2460,521,363,189,1545,458,11,16,19,22,944,221,12,19,932,220,6742,806,5101,787,137,107,83,77,0,20,0,20,815,294,606,236,291,162,315,188,60677,38,53935,808,6742,806
