OBJECTID,GEOID,B03001e1,B03001m1,B03001e2,B03001m2,B03001e3,B03001m3,B03001e4,B03001m4,B03001e5,B03001m5,B03001e6,B03001m6,B03001e7,B03001m7,B03001e8,B03001m8,B03001e9,B03001m9,B03001e10,B03001m10,B03001e11,B03001m11,B03001e12,B03001m12,B03001e13,B03001m13,B03001e14,B03001m14,B03001e15,B03001m15,B03001e16,B03001m16,B03001e17,B03001m17,B03001e18,B03001m18,B03001e19,B03001m19,B03001e20,B03001m20,B03001e21,B03001m21,B03001e22,B03001m22,B03001e23,B03001m23,B03001e24,B03001m24,B03001e25,B03001m25,B03001e26,B03001m26,B03001e27,B03001m27,B03001e28,B03001m28,B03001e29,B03001m29,B03001e30,B03001m30,B03001e31,B03001m31,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
350,06000US5502519250,2631,205,2574,218,57,40,25,29,9,12,0,9,0,9,23,26,0,9,3,5,20,25,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2631,205,2574,218,2480,222,42,39,14,20,12,11,0,9,0,9,26,26,0,9,26,26,57,40,42,36,0,9,6,8,0,9,0,9,5,7,4,6,4,6,0,9,2631,205,2574,218,57,40
351,06000US5502519275,1710,163,1700,162,10,11,10,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1710,163,1700,162,1573,137,111,79,5,6,6,12,0,9,0,9,5,10,0,9,5,10,10,11,6,9,0,9,0,9,0,9,0,9,4,7,0,9,0,9,0,9,1710,163,1700,162,10,11
352,06000US5502519350,9347,28,9003,222,344,221,263,203,66,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,23,0,12,0,12,0,12,15,23,9347,28,9003,222,8487,307,86,81,5,10,190,113,0,12,0,12,235,151,0,12,235,151,344,221,325,216,0,12,0,12,0,12,0,12,8,13,11,20,0,12,11,20,9347,28,9003,222,344,221
353,06000US5502521100,2093,235,2009,232,84,73,59,64,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,22,34,0,9,0,9,22,34,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,3,4,0,9,0,9,2093,235,2009,232,2000,230,6,12,0,9,0,9,0,9,0,9,3,6,0,9,3,6,84,73,84,73,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2093,235,2009,232,84,73
354,06000US5502521125,5112,22,5041,67,71,65,41,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,46,30,46,0,12,0,12,0,12,5112,22,5041,67,4984,90,38,42,0,12,1,2,0,12,0,12,18,29,0,12,18,29,71,65,71,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5112,22,5041,67,71,65
355,06000US5502522575,68,36,68,36,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,68,36,68,36,68,36,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,68,36,68,36,0,9
356,06000US5502525950,26616,54,21404,986,5212,996,4103,1009,278,158,38,45,0,16,455,547,0,16,14,23,347,535,17,27,77,119,0,16,0,16,275,187,34,50,0,16,0,16,90,112,9,16,0,16,27,37,85,120,30,47,0,16,63,52,33,36,15,27,0,16,15,26,26616,54,21404,986,16367,973,2753,639,113,114,1631,316,23,28,0,16,517,215,18,26,499,208,5212,996,1929,750,347,334,26,42,34,52,0,16,2332,861,544,353,290,202,254,311,26616,54,21404,986,5212,996
357,06000US5502546850,8092,18,7960,83,132,81,70,51,33,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,48,0,12,0,12,0,12,29,48,8092,18,7960,83,7524,261,63,55,0,12,66,81,0,12,0,12,307,197,30,47,277,190,132,81,66,55,0,12,0,12,0,12,0,12,29,48,37,42,17,28,20,32,8092,18,7960,83,132,81
358,06000US5502548000,243122,116,226097,1113,17025,1117,12237,1124,1660,409,457,152,30,28,630,268,37,36,91,57,137,124,211,216,101,109,53,60,0,20,1256,336,165,143,125,151,181,121,412,189,143,115,92,129,101,57,25,36,12,21,0,20,755,363,173,154,39,34,0,20,543,333,243122,116,226097,1113,181439,1550,16333,1114,648,169,20325,870,12,19,203,89,7137,823,235,104,6902,806,17025,1117,10276,1156,453,230,108,75,118,90,0,20,4817,1074,1253,350,730,276,523,207,243122,116,226097,1113,17025,1117
359,06000US5502548025,6702,27,5357,493,1345,497,1070,468,39,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,108,118,0,12,0,12,0,12,22,37,86,113,0,12,0,12,0,12,0,12,0,12,128,170,0,12,0,12,0,12,128,170,6702,27,5357,493,3474,557,1283,460,0,12,293,191,0,12,0,12,307,256,0,12,307,256,1345,497,662,377,54,87,0,12,0,12,0,12,553,355,76,87,76,87,0,12,6702,27,5357,493,1345,497
