"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"CITY-OF-WISCONSIN-DELLS-WARD-1-3-6-COLUMBIA","11291","CITY-OF-WISCONSIN-DELLS-WARD-1-3-6-COLUMBIA","CITY OF WISCONSIN DELLS WARDS 1 - 3 & 6","COLUMBIA","CITY OF WISCONSIN DELLS COLUMBIA",45.5568053993251,52.9808773903262,1.46231721034871,0.655653450807636,0,1,0.12541993281075,0,0,0.00111982082866741,0.0425844346549192,893,1362,0.00559910414333707,889,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,2096,28675,9.38037865748709,16.9042769857434,94.2270992366412,0,5.91603053435114,49.7614503816794,38.5,2.33,650.261640838439
"TOWN-OF-BRIDGEPORT-WARD-1-CRAWFORD","12002","TOWN-OF-BRIDGEPORT-WARD-1-CRAWFORD","TOWN OF BRIDGEPORT WARD 1","CRAWFORD","TOWN OF BRIDGEPORT CRAWFORD",60,39.5652173913043,0.434782608695652,0.683357879234168,0.941810344827586,0,0.0474137931034483,437,0,0,0.0500736377025037,464,679,0.00646551724137931,460,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,972,29454,3.2626427406199,23.2931726907631,100,0,0.617283950617284,49.2798353909465,43.8,2.73,15.9730376364696
"TOWN-OF-CLAYTON-WARD-1-3-CRAWFORD","12004","TOWN-OF-CLAYTON-WARD-1-3-CRAWFORD","TOWN OF CLAYTON WARDS 1-3","CRAWFORD","TOWN OF CLAYTON CRAWFORD",42.1188630490956,56.5891472868217,1.29198966408269,0.723562152133581,0.666666666666667,0,0.0487179487179487,260,0,0,0.0556586270871985,390,539,0.00512820512820513,387,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,1005,25559,6.5252854812398,18.2948490230906,98.1094527363184,1.29353233830846,1.49253731343284,51.044776119403,49.1,2.76,17.8730999960534
"TOWN-OF-EASTMAN-WARD-1-2-CRAWFORD","12006","TOWN-OF-EASTMAN-WARD-1-2-CRAWFORD","TOWN OF EASTMAN WARDS 1-2","CRAWFORD","TOWN OF EASTMAN CRAWFORD",61.2698412698413,37.4603174603175,1.26984126984127,0.729357798165138,0.893081761006289,0,0.0251572327044025,284,0,0,0.073394495412844,318,436,0,315,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,793,24698,2.55863539445629,18.6893203883495,97.4779319041614,0,0.882723833543506,53.8461538461538,42.5,2.77,7.09721352763331
"TOWN-OF-FREEMAN-WARD-1-CRAWFORD","12008","TOWN-OF-FREEMAN-WARD-1-CRAWFORD","TOWN OF FREEMAN WARD 1","CRAWFORD","TOWN OF FREEMAN CRAWFORD",45.6521739130435,52.7950310559006,1.5527950310559,0.762910798122066,0.664615384615385,0,0.0676923076923077,216,0.00615384615384615,0,0.068075117370892,325,426,0.00615384615384615,322,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,636,25468,5.3072625698324,13.8235294117647,93.8679245283019,0,0.471698113207547,52.5157232704402,55.5,2.32,2.98314389515417
"TOWN-OF-HANEY-WARD-1-CRAWFORD","12010","TOWN-OF-HANEY-WARD-1-CRAWFORD","TOWN OF HANEY WARD 1","CRAWFORD","TOWN OF HANEY CRAWFORD",37.4193548387097,61.9354838709677,0.645161290322581,0.798969072164949,0.767741935483871,0,0.032258064516129,119,0,0,0.0463917525773196,155,194,0.00645161290322581,155,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,282,22976,6.3953488372093,9.93377483443709,100,0,0,56.7375886524823,50.7,2.71,3.32590461943385
"TOWN-OF-MARIETTA-WARD-1-CRAWFORD","12012","TOWN-OF-MARIETTA-WARD-1-CRAWFORD","TOWN OF MARIETTA WARD 1","CRAWFORD","TOWN OF MARIETTA CRAWFORD",49.5535714285714,49.5535714285714,0.892857142857143,0.752508361204013,0.56,0,0.0488888888888889,126,0,0,0.0501672240802676,225,299,0.00888888888888889,224,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,454,23813,7.94701986754967,10.9848484848485,95.5947136563877,1.76211453744493,0.440528634361234,55.9471365638767,49.9,2.32,3.64259618303493
"TOWN-OF-PRAIRIE-DU-CHIEN-WARD-1-2-CRAWFORD","12014","TOWN-OF-PRAIRIE-DU-CHIEN-WARD-1-2-CRAWFORD","TOWN OF PRAIRIE DU CHIEN WARD 1-2","CRAWFORD","TOWN OF PRAIRIE DU CHIEN CRAWFORD",59.0425531914894,39.8936170212766,1.06382978723404,0.713747645951036,0.612137203166227,0,0.100263852242744,232,0,0,0.0489642184557439,379,531,0.0105540897097625,376,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,1027,23828,6.44122383252818,13.1059245960503,98.1499513145083,0,2.33690360272639,46.7380720545277,46,2.49,13.6014209076708
"TOWN-OF-SCOTT-WARD-1-CRAWFORD","12016","TOWN-OF-SCOTT-WARD-1-CRAWFORD","TOWN OF SCOTT WARD 1","CRAWFORD","TOWN OF SCOTT CRAWFORD",45.2380952380952,54.7619047619048,0,0.708053691275168,0.606635071090047,0,0.0521327014218009,128,0,0,0.0503355704697987,211,298,0,210,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,397,26095,4.8,8.58369098712446,100,0,1.25944584382872,52.3929471032746,53.6,2.18,4.29121568688543
"TOWN-OF-SENECA-WARD-1-CRAWFORD","12018","TOWN-OF-SENECA-WARD-1-CRAWFORD","TOWN OF SENECA WARD 1","CRAWFORD","TOWN OF SENECA CRAWFORD",51.2,47.7333333333333,1.06666666666667,0.697026022304833,0.466666666666667,0,0.0613333333333333,175,0,0,0.0371747211895911,375,538,0.016,375,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,841,26434,5.23364485981308,12.9436325678497,98.8109393579073,0,0.237812128418549,56.718192627824,46,2.53,4.74950065823113
