"","county","municipality","muni_county","reporting_unit_orig","reporting_unit","democrat_votes.rec","democrat_votes.perc","other_votes.rec","other_votes.perc","republican_votes.rec","republican_votes.perc","votes.tot"
"1813","RUSK","TOWN OF CEDAR RAPIDS","TOWN OF CEDAR RAPIDS RUSK","TOWN OF CEDAR RAPIDS WARDS 1 RUSK","TOWN-OF-CEDAR-RAPIDS-WARD-1-RUSK",8,33.3333333333333,2,8.33333333333333,14,58.3333333333333,24
"1814","OZAUKEE","TOWN OF CEDARBURG","TOWN OF CEDARBURG OZAUKEE","TOWN OF CEDARBURG WARD 1-2 OZAUKEE","TOWN-OF-CEDARBURG-WARD-1-2-OZAUKEE",233,25.5482456140351,8,0.87719298245614,671,73.5745614035088,912
"1815","OZAUKEE","TOWN OF CEDARBURG","TOWN OF CEDARBURG OZAUKEE","TOWN OF CEDARBURG WARDS 3-4 OZAUKEE","TOWN-OF-CEDARBURG-WARD-3-4-OZAUKEE",274,28.4232365145228,5,0.518672199170124,685,71.0580912863071,964
"1816","OZAUKEE","TOWN OF CEDARBURG","TOWN OF CEDARBURG OZAUKEE","TOWN OF CEDARBURG WARDS 5-6,10 OZAUKEE","TOWN-OF-CEDARBURG-WARD-5-6-10-OZAUKEE",266,23.4982332155477,6,0.530035335689046,860,75.9717314487633,1132
"1817","OZAUKEE","TOWN OF CEDARBURG","TOWN OF CEDARBURG OZAUKEE","TOWN OF CEDARBURG WARDS 7-9 OZAUKEE","TOWN-OF-CEDARBURG-WARD-7-9-OZAUKEE",301,27.1906052393857,11,0.993676603432701,795,71.8157181571816,1107
"1818","OUTAGAMIE","TOWN OF CENTER","TOWN OF CENTER OUTAGAMIE","TOWN OF CENTER WARD 1-7 OUTAGAMIE","TOWN-OF-CENTER-WARD-1-7-OUTAGAMIE",746,35.6255969436485,37,1.76695319961796,1311,62.6074498567335,2094
"1819","ROCK","TOWN OF CENTER","TOWN OF CENTER ROCK","TOWN OF CENTER WARDS 1-2 ROCK","TOWN-OF-CENTER-WARD-1-2-ROCK",400,60.6060606060606,10,1.51515151515152,250,37.8787878787879,660
"1820","MANITOWOC","TOWN OF CENTERVILLE","TOWN OF CENTERVILLE MANITOWOC","TOWN OF CENTERVILLE WARD 1 MANITOWOC","TOWN-OF-CENTERVILLE-WARD-1-MANITOWOC",143,38.8586956521739,8,2.17391304347826,217,58.9673913043478,368
"1821","CALUMET","TOWN OF CHARLESTOWN","TOWN OF CHARLESTOWN CALUMET","TOWN OF CHARLESTOWN WARD 1 CALUMET","TOWN-OF-CHARLESTOWN-WARD-1-CALUMET",184,39.4849785407725,4,0.858369098712446,278,59.656652360515,466
"1822","OCONTO","TOWN OF CHASE","TOWN OF CHASE OCONTO","TOWN OF CHASE WARDS 1-5 OCONTO","TOWN-OF-CHASE-WARD-1-5-OCONTO",672,42.3173803526448,23,1.44836272040302,893,56.2342569269521,1588
"1823","TAYLOR","TOWN OF CHELSEA","TOWN OF CHELSEA TAYLOR","TOWN OF CHELSEA WARD 1 TAYLOR","TOWN-OF-CHELSEA-WARD-1-TAYLOR",134,35.3562005277045,4,1.05540897097625,241,63.5883905013193,379
"1824","DODGE","TOWN OF CHESTER","TOWN OF CHESTER DODGE","TOWN OF CHESTER WARDS 1-2 DODGE","TOWN-OF-CHESTER-WARD-1-2-DODGE",135,35.15625,5,1.30208333333333,244,63.5416666666667,384
"1825","BARRON","TOWN OF CHETEK","TOWN OF CHETEK BARRON","TOWN OF CHETEK WARDS 1 - 2 BARRON","TOWN-OF-CHETEK-WARD-1-2-BARRON",477,45.7334611697028,14,1.34228187919463,552,52.9242569511026,1043
"1826","WASHBURN","TOWN OF CHICOG","TOWN OF CHICOG WASHBURN","TOWN OF CHICOG WARDS 1 -2 WASHBURN","TOWN-OF-CHICOG-WARD-1-2-WASHBURN",110,60.4395604395604,1,0.549450549450549,71,39.010989010989,182
"1827","CALUMET","TOWN OF CHILTON","TOWN OF CHILTON CALUMET","TOWN OF CHILTON WARDS 1, 2, 3 CALUMET","TOWN-OF-CHILTON-WARD-1-2-3-CALUMET",203,32.3763955342903,10,1.59489633173844,414,66.0287081339713,627
"1828","TREMPEALEAU","TOWN OF CHIMNEY ROCK","TOWN OF CHIMNEY ROCK TREMPEALEAU","TOWN OF CHIMNEY ROCK WARD 1 TREMPEALEAU","TOWN-OF-CHIMNEY-ROCK-WARD-1-TREMPEALEAU",74,56.4885496183206,0,0,57,43.5114503816794,131
"1829","ASHLAND","TOWN OF CHIPPEWA","TOWN OF CHIPPEWA ASHLAND","TOWN OF CHIPPEWA WARD 1 ASHLAND","TOWN-OF-CHIPPEWA-WARD-1-ASHL-",105,47.085201793722,7,3.1390134529148,111,49.7757847533632,223
"1830","DANE","TOWN OF CHRISTIANA","TOWN OF CHRISTIANA DANE","TOWN OF CHRISTIANA WARDS 1-2 DANE","TOWN-OF-CHRISTIANA-WARD-1-2-DANE",433,57.5797872340426,6,0.797872340425532,313,41.6223404255319,752
"1831","VERNON","TOWN OF CHRISTIANA","TOWN OF CHRISTIANA VERNON","TOWN OF CHRISTIANA WARDS 1 & 2 VERNON","TOWN-OF-CHRISTIANA-WARD-1-2-VERNON",260,53.0612244897959,4,0.816326530612245,226,46.1224489795918,490
"1832","OUTAGAMIE","TOWN OF CICERO","TOWN OF CICERO OUTAGAMIE","TOWN OF CICERO WARDS 1-2 OUTAGAMIE","TOWN-OF-CICERO-WARD-1-2-OUTAGAMIE",236,42.3698384201077,4,0.718132854578097,317,56.9120287253142,557
"1833","JACKSON","TOWN OF CITY POINT","TOWN OF CITY POINT JACKSON","TOWN OF CITY POINT WARD 1 JACKSON","TOWN-OF-CITY-POINT-WARD-1-JACKSON",63,57.2727272727273,0,0,47,42.7272727272727,110
"1834","POLK","TOWN OF CLAM FALLS","TOWN OF CLAM FALLS POLK","TOWN OF CLAM FALLS WARD 1 POLK","TOWN-OF-CLAM-FALLS-WARD-1-POLK",145,49.6575342465753,10,3.42465753424658,137,46.9178082191781,292
"1835","GREEN","TOWN OF CLARNO","TOWN OF CLARNO GREEN","TOWN OF CLARNO WARDS 1 & 2 GREEN","TOWN-OF-CLARNO-WARD-1-2-GREEN",301,48.3922829581994,5,0.803858520900322,316,50.8038585209003,622
