"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","MCD_FIPS"
"25","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-15-OUTAGAMIE","CITY OF APPLETON WARD 15 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",356,46.9038208168643,35,759,4.61133069828722,368,48.4848484848485,395,14,846,437,46.6903073286052,51.6548463356974,1.6548463356974,-39,-69,21,0.213513488259096,-3.16999785084892,2.95648436258982,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"26","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-16-OUTAGAMIE","CITY OF APPLETON WARD 16 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",314,47.9389312977099,38,655,5.80152671755725,303,46.2595419847328,384,12,719,323,53.4075104311544,44.923504867872,1.66898470097357,-70,-20,26,-5.46857913344445,1.33603711686079,4.13254201658368,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"27","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-17-OUTAGAMIE","CITY OF APPLETON WARD 17 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",358,47.9250334672021,39,747,5.22088353413655,350,46.8540829986613,391,10,790,389,49.4936708860759,49.2405063291139,1.26582278481013,-33,-39,29,-1.56863741887381,-2.38642333045262,3.95506074932642,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"28","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-18-OUTAGAMIE","CITY OF APPLETON WARD 18 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",255,42.6421404682274,29,598,4.8494983277592,314,52.5083612040134,261,7,637,369,40.9733124018838,57.9277864992151,1.0989010989011,-6,-55,22,1.66882806634359,-5.4194252952017,3.7505972288581,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"29","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-19-OUTAGAMIE","CITY OF APPLETON WARD 19 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",532,38.4393063583815,51,1384,3.6849710982659,801,57.8757225433526,464,15,1433,954,32.3796231681786,66.5736217725052,1.04675505931612,68,-153,36,6.05968319020285,-8.69789922915263,2.63821603894978,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"30","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-2-OUTAGAMIE","CITY OF APPLETON WARD 2 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",686,51.5015015015015,131,1332,9.83483483483483,515,38.6636636636637,851,40,1398,507,60.8726752503577,36.2660944206009,2.86123032904149,-165,8,91,-9.37117374885615,2.3975692430628,6.97360450579335,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"31","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-20-OUTAGAMIE","CITY OF APPLETON WARD 20 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",414,41.2350597609562,65,1004,6.47410358565737,525,52.2908366533864,314,8,884,562,35.5203619909502,63.5746606334842,0.904977375565611,100,-37,57,5.71469777000595,-11.2838239800977,5.56912621009176,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"32","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-21-OUTAGAMIE","CITY OF APPLETON WARD 21 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",7,30.4347826086957,3,23,13.0434782608696,13,56.5217391304348,9,0,29,20,31.0344827586207,68.9655172413793,0,-2,-7,3,-0.599700149925035,-12.4437781109445,13.0434782608696,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"33","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-22-OUTAGAMIE","CITY OF APPLETON WARD 22 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",8,20,0,40,0,32,80,3,0,18,15,16.6666666666667,83.3333333333333,0,5,17,0,3.33333333333334,-3.33333333333334,0,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"34","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-24-OUTAGAMIE","CITY OF APPLETON WARD 24 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",234,53.3029612756264,37,439,8.42824601366743,168,38.2687927107062,253,16,480,211,52.7083333333333,43.9583333333333,3.33333333333333,-19,-43,21,0.594627942293087,-5.68954062262718,5.09491268033409,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"35","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-25-OUTAGAMIE","CITY OF APPLETON WARD 25 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",406,47.6525821596244,66,852,7.74647887323944,380,44.6009389671362,540,31,935,364,57.7540106951872,38.9304812834225,3.31550802139037,-134,16,35,-10.1014285355627,5.67045768371369,4.43097085184906,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"36","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-26-CALUMET","CITY OF APPLETON WARD 26 CALUMET","CITY OF APPLETON","CALUMET",490,43.9856373429084,118,1114,10.5924596050269,506,45.4219030520646,636,23,1207,548,52.6926263463132,45.4018227009113,1.90555095277548,-146,-42,95,-8.70698900340474,0.0200803511532897,8.68690865225145,0,1,0,NA,NA,NA,0,NA,NA,NA,"5501502375"
"37","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-27-OUTAGAMIE","CITY OF APPLETON WARD 27 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",534,54.601226993865,86,978,8.79345603271984,358,36.6053169734151,567,28,1007,412,56.3058589870904,40.9136047666336,2.78053624627607,-33,-54,58,-1.70463199322533,-4.30828779321844,6.01291978644377,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"38","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-28-OUTAGAMIE","CITY OF APPLETON WARD 28 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",436,48.4983314794216,84,899,9.34371523915462,379,42.1579532814238,551,26,984,407,55.9959349593496,41.3617886178862,2.64227642276423,-115,-28,58,-7.49760347992801,0.796164663537624,6.70143881639039,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"39","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-29-OUTAGAMIE","CITY OF APPLETON WARD 29 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",594,52.6595744680851,92,1128,8.15602836879433,442,39.1843971631206,719,47,1209,443,59.4706368899917,36.641852770885,3.88751033912324,-125,-1,45,-6.81106242190662,2.54254439223553,4.26851802967109,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"40","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-3-OUTAGAMIE","CITY OF APPLETON WARD 3 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",1025,63.7437810945274,118,1608,7.33830845771144,465,28.9179104477612,1082,50,1617,485,66.9140383426098,29.9938157081014,3.09214594928881,-57,-20,68,-3.17025724808241,-1.07590526034023,4.24616250842264,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"41","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-30-OUTAGAMIE","CITY OF APPLETON WARD 30 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",466,50.4875406283857,67,923,7.25893824485374,390,42.2535211267606,623,28,1041,390,59.8463016330452,37.463976945245,2.68972142170989,-157,0,39,-9.35876100465946,4.7895441815156,4.56921682314384,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"42","CITY OF APPLETON WINNEBAGO","CITY-OF-APPLETON-WARD-31-WINNEBAGO","CITY OF APPLETON WARD 31 WINNEBAGO","CITY OF APPLETON","WINNEBAGO",41,45.0549450549451,7,91,7.69230769230769,43,47.2527472527472,63,1,108,44,58.3333333333333,40.7407407407407,0.925925925925926,-22,-1,6,-13.2783882783883,6.51200651200651,6.76638176638177,0,1,0,NA,NA,NA,0,NA,NA,NA,"5513902375"
