"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-AGENDA-WARD-1-ASHLAND","02002","TOWN-OF-AGENDA-WARD-1-ASHLAND","TOWN OF AGENDA Ward 1","ASHLAND","TOWN OF AGENDA ASHLAND",56.4971751412429,40.1129943502825,0,NA,0,0,0.0552486187845304,0,0,0,NA,181,0,0,177,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,441,22990,8.88888888888889,10.5263157894737,95.2380952380952,0,0,52.3809523809524,47.8,2.42,1.90008441860022
"TOWN-OF-ASHLAND-WARD-1-ASHLAND","02004","TOWN-OF-ASHLAND-WARD-1-ASHLAND","TOWN OF ASHLAND Ward 1","ASHLAND","TOWN OF ASHLAND ASHLAND",31,67.5,0,0.559459459459459,0,0,0.0434782608695652,0,0,0,0.0243243243243243,207,370,0,200,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,552,21668,0.940438871473354,19.8606271777003,95.6521739130435,0,0,49.6376811594203,39.6,2.38,5.15408762641913
"TOWN-OF-CHIPPEWA-WARD-1-ASHLAND","02006","TOWN-OF-CHIPPEWA-WARD-1-ASHLAND","TOWN OF CHIPPEWA Ward 1","ASHLAND","TOWN OF CHIPPEWA ASHLAND",52.0547945205479,45.2054794520548,0,0.695852534562212,0.198675496688742,0,0.033112582781457,30,0,0,0.0460829493087558,151,217,0.00662251655629139,146,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,351,27453,4.23728813559322,14.8514851485149,99.1452991452991,0,1.70940170940171,52.1367521367521,48,2.21,1.07573510661069
"TOWN-OF-GINGLES-WARD-1-2-ASHLAND","02008","TOWN-OF-GINGLES-WARD-1-2-ASHLAND","TOWN OF GINGLES Wards 1 & 2","ASHLAND","TOWN OF GINGLES ASHLAND",36.3057324840764,61.4649681528662,0,0.649377593360996,0.00319488817891374,0,0,1,0,0,0.0560165975103734,313,482,0,314,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,825,28882,3.9426523297491,16.2886597938144,91.6363636363636,0,0.363636363636364,54.7878787878788,46.9,2.65,8.41079450399105
"TOWN-OF-GORDON-WARD-1-ASHLAND","02010","TOWN-OF-GORDON-WARD-1-ASHLAND","TOWN OF GORDON Ward 1","ASHLAND","TOWN OF GORDON ASHLAND",48.2758620689655,51.0344827586207,0,0.643171806167401,0,0,0.0479452054794521,0,0,0,0.0308370044052863,146,227,0,145,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,289,19936,6.59340659340659,11.3207547169811,98.6159169550173,0,0,53.6332179930796,57.1,2.22,1.97237816966913
"TOWN-OF-JACOBS-WARD-1-ASHLAND","02012","TOWN-OF-JACOBS-WARD-1-ASHLAND","TOWN OF JACOBS Ward 1","ASHLAND","TOWN OF JACOBS ASHLAND",46.875,52.734375,0,0.551724137931034,0.03125,0,0.046875,8,0,0,0.0301724137931034,256,464,0,256,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,664,17888,3.8560411311054,15.6156156156156,98.3433734939759,0,1.80722891566265,50.9036144578313,48.4,2.22,4.96439416356902
"TOWN-OF-LA-POINTE-WARD-1-ASHLAND","02014","TOWN-OF-LA-POINTE-WARD-1-ASHLAND","TOWN OF LA POINTE Ward 1","ASHLAND","TOWN OF LA POINTE ASHLAND",22.3880597014925,77.1144278606965,0,0.617021276595745,0,0,0.0295566502463054,0,0.00492610837438424,0,0.00911854103343465,203,329,0.00985221674876847,201,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,185,32047,3.63636363636364,58.4905660377358,100,0,9.72972972972973,47.027027027027,57.3,1.78,0.919278991348133
"TOWN-OF-MARENGO-WARD-1-2-ASHLAND","02016","TOWN-OF-MARENGO-WARD-1-2-ASHLAND","TOWN OF MARENGO Wards 1 & 2","ASHLAND","TOWN OF MARENGO ASHLAND",37.984496124031,59.6899224806201,0,0.775229357798165,0,0,0.0414201183431953,0,0,0,0.0642201834862385,169,218,0,129,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,469,16413,5.62770562770563,12.4378109452736,97.228144989339,0.213219616204691,2.77185501066098,50.319829424307,30.3,3.47,4.553557966968
"TOWN-OF-MORSE-WARD-1-2-ASHLAND","02018","TOWN-OF-MORSE-WARD-1-2-ASHLAND","TOWN OF MORSE Wards 1 & 2","ASHLAND","TOWN OF MORSE ASHLAND",43.3962264150943,55.188679245283,0,0.653250773993808,0,0,0.014218009478673,0,0,0,0.0464396284829721,211,323,0.004739336492891,212,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,591,20978,6.14886731391586,13.4948096885813,97.2927241962775,0,3.04568527918782,51.9458544839255,42.1,2.76,2.58285271833195
"TOWN-OF-PEEKSVILLE-WARD-1-ASHLAND","02020","TOWN-OF-PEEKSVILLE-WARD-1-ASHLAND","TOWN OF PEEKSVILLE Ward 1","ASHLAND","TOWN OF PEEKSVILLE ASHLAND",58.0246913580247,41.9753086419753,0,0.680672268907563,0,0,0.0246913580246914,0,0,0,0.0336134453781513,81,119,0,81,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,134,26664,2.29885057471264,23.2558139534884,94.7761194029851,0,2.98507462686567,51.4925373134328,60.7,2.16,6.87401556056125
"TOWN-OF-SANBORN-WARD-1-2-ASHLAND","02022","TOWN-OF-SANBORN-WARD-1-2-ASHLAND","TOWN OF SANBORN Wards 1 & 2","ASHLAND","TOWN OF SANBORN ASHLAND",14.5985401459854,84.6715328467153,0,0.536082474226804,0,0,0.0256410256410256,0,0,0,0.0498281786941581,312,582,0.00641025641025641,274,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,1276,16554,12.3139377537212,10.3618421052632,20.7680250783699,0.626959247648903,7.83699059561129,50.3134796238245,34.2,2.73,13.2674573092863
"TOWN-OF-SHANAGOLDEN-WARD-1-ASHLAND","02024","TOWN-OF-SHANAGOLDEN-WARD-1-ASHLAND","TOWN OF SHANAGOLDEN Ward 1","ASHLAND","TOWN OF SHANAGOLDEN ASHLAND",50.7692307692308,46.1538461538462,0,0.714285714285714,0,0,0.184615384615385,0,0,0,0,65,91,0,65,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,119,31213,4.47761194029851,23.3333333333333,99.1596638655462,0,0,49.5798319327731,58.8,2.05,0.511886784086538
"TOWN-OF-WHITE-RIVER-WARD-1-3-ASHLAND","02026","TOWN-OF-WHITE-RIVER-WARD-1-3-ASHLAND","TOWN OF WHITE RIVER Wards 1 - 3","ASHLAND","TOWN OF WHITE RIVER ASHLAND",58.5294117647059,40,0,0.601063829787234,0.00589970501474926,0,0.023598820058997,2,0,0,0.0425531914893617,339,564,0,340,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,897,16534,4.13793103448276,6.01719197707736,97.9933110367893,0,0,52.7313266443701,24.7,3.24,9.57785514243965
"VILLAGE-OF-BUTTERNUT-WARD-1-2-ASHLAND","02106","VILLAGE-OF-BUTTERNUT-WARD-1-2-ASHLAND","VILLAGE OF BUTTERNUT Wards 1 & 2","ASHLAND","VILLAGE OF BUTTERNUT ASHLAND",28.9256198347107,70.2479338842975,0,0.567567567567568,0.0158730158730159,0,0.0317460317460317,2,0,0,0.0135135135135135,126,222,0,121,1,3.6,2.7408400239252,15.5,"aNone","None","ES&S Automark",38550,385,18096,8.71559633027523,9.375,98.1818181818182,0,1.55844155844156,52.4675324675325,43.6,2.07,198.961972191969
"CITY-OF-ASHLAND-WARD-1-ASHLAND","02201","CITY-OF-ASHLAND-WARD-1-ASHLAND","CITY OF ASHLAND Ward 1","ASHLAND","CITY OF ASHLAND ASHLAND",47.4327628361858,51.8337408312958,0,0.641860465116279,0,1,0.103864734299517,0,0.00241545893719807,0,0.0372093023255814,414,645,0.0193236714975845,409,1,3.6,2.7408400239252,15.5,"aNone","ES&S M100","ES&S Automark",38550,8116,23319,5.84493041749503,24.5452340528741,85.6949236076885,0.7885657959586,2.19319862000986,48.8171513060621,41.5,2.1,733.426047838381
"CITY-OF-ASHLAND-WARD-2-ASHLAND","02201","CITY-OF-ASHLAND-WARD-2-ASHLAND","CITY OF ASHLAND Ward 2","ASHLAND","CITY OF ASHLAND ASHLAND",25.4716981132075,73.1132075471698,0,0.390542907180385,0,0,0.147982062780269,0,0,0,0.0332749562171629,223,571,0.0269058295964126,212,1,3.6,2.7408400239252,15.5,"aNone","ES&S M100","ES&S Automark",38550,8116,23319,5.84493041749503,24.5452340528741,85.6949236076885,0.7885657959586,2.19319862000986,48.8171513060621,41.5,2.1,733.426047838381
"CITY-OF-ASHLAND-WARD-3-ASHLAND","02201","CITY-OF-ASHLAND-WARD-3-ASHLAND","CITY OF ASHLAND Ward 3","ASHLAND","CITY OF ASHLAND ASHLAND",30.7086614173228,68.503937007874,0.393700787401575,0.512,0,1,0.1171875,0,0,0,0.048,256,500,0.0078125,254,1,3.6,2.7408400239252,15.5,"aNone","ES&S M100","ES&S Automark",38550,8116,23319,5.84493041749503,24.5452340528741,85.6949236076885,0.7885657959586,2.19319862000986,48.8171513060621,41.5,2.1,733.426047838381
"CITY-OF-ASHLAND-WARD-4-ASHLAND","02201","CITY-OF-ASHLAND-WARD-4-ASHLAND","CITY OF ASHLAND Ward 4","ASHLAND","CITY OF ASHLAND ASHLAND",39.541547277937,59.8853868194842,0,0.645454545454546,0,1,0.0704225352112676,0,0,0,0.0472727272727273,355,550,0.00563380281690141,349,1,3.6,2.7408400239252,15.5,"aNone","ES&S M100","ES&S Automark",38550,8116,23319,5.84493041749503,24.5452340528741,85.6949236076885,0.7885657959586,2.19319862000986,48.8171513060621,41.5,2.1,733.426047838381
"CITY-OF-ASHLAND-WARD-5-ASHLAND","02201","CITY-OF-ASHLAND-WARD-5-ASHLAND","CITY OF ASHLAND Ward 5","ASHLAND","CITY OF ASHLAND ASHLAND",27.4691358024691,70.0617283950617,0,0.594149908592322,0,1,0.0830769230769231,0,0,0,0.0786106032906764,325,547,0.0184615384615385,324,1,3.6,2.7408400239252,15.5,"aNone","ES&S M100","ES&S Automark",38550,8116,23319,5.84493041749503,24.5452340528741,85.6949236076885,0.7885657959586,2.19319862000986,48.8171513060621,41.5,2.1,733.426047838381
"CITY-OF-ASHLAND-WARD-6-ASHLAND","02201","CITY-OF-ASHLAND-WARD-6-ASHLAND","CITY OF ASHLAND Ward 6","ASHLAND","CITY OF ASHLAND ASHLAND",27.7056277056277,69.6969696969697,0,0.462450592885375,0,0,0.0811965811965812,0,0,0,0.0790513833992095,234,506,0,231,1,3.6,2.7408400239252,15.5,"aNone","ES&S M100","ES&S Automark",38550,8116,23319,5.84493041749503,24.5452340528741,85.6949236076885,0.7885657959586,2.19319862000986,48.8171513060621,41.5,2.1,733.426047838381
