"","county","dem.votes","dem.votes.perc","rep.votes","rep.votes.perc","oth.votes","oth.votes.perc","turnout","year","perc.diff","num.diff","winner","winner.party","mean.poll.trump","mean.poll.clinton","turnout.all","reg.voters.all","registered.voters","turnout.perc.reg","turnout.state.reg","total.voters.age.est","turnout.perc.allage.est","turnout.2012","turnout.2012.perc","dem.2012","rep.2012","oth.2012","diff.2012.num","diff.2012.perc","use.machines.prop","machine.most.used","all.machines"
"30","Kenosha",35770,47.17,36025,47.51,4030,5.31,75825,2016,0.339999999999996,255,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,95559,79.3488839355791,81.343183804623,126412,59.9824383761035,80897,65.0245157141709,44867,34977,1053,-9890,-12.2254224507707,1,"ES&S","Mostly optical scanners"
"31","Kewaunee",3623,33.73,6616,61.59,503,4.69,10742,2016,27.86,2993,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,12648,84.9304237824162,81.343183804623,16091,66.7578149275993,11037,69.6956302096489,5153,5747,137,594,5.38189725468877,1,"ES&S","Mostly optical scanners"
"32","La Crosse",32402,51.61,26384,42.02,3999,6.38,62785,2016,-9.59,-6018,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,79500,78.9748427672956,81.343183804623,92752,67.6912627220976,63462,69.5222549653276,36693,25751,1018,-10942,-17.2418139989285,1,"ES&S","Mostly optical scanners"
"33","Lafayette",3288,43.25,3977,52.32,337,4.43,7602,2016,9.07,689,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,9367,81.1572541902423,81.343183804623,12787,59.4510049268789,7952,63.191354100445,4536,3314,102,-1222,-15.3672032193159,0.0384615384615385,"ES&S","Some or no optical scanners"
"34","Langlade",3260,32.3,6436,63.77,397,3.93,10093,2016,31.47,3176,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,12221,82.5873496440553,81.343183804623,16011,63.0379114358878,10519,66.7576315288443,4573,5816,130,1243,11.8167126152676,0.0526315789473684,"ES&S","Some or no optical scanners"
"35","Lincoln",5370,36.87,8400,57.68,793,5.45,14563,2016,20.81,3030,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,17741,82.0866918437518,81.343183804623,22974,63.3890484895969,15216,67.297655904467,7563,7455,198,-108,-0.709779179810726,1,"ES&S","Mostly optical scanners"
"36","Manitowoc",14563,36.42,23234,58.1,2194,5.5,39991,2016,21.68,8671,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,48721,82.0816485704316,81.343183804623,64521,61.9813704065343,42617,67.1144427471299,20403,21604,610,1201,2.81812422272802,0.566666666666667,"ES&S","Some or no optical scanners"
"37","Marathon",26476,38.46,39010,56.66,3363,4.88,68849,2016,18.2,12534,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,82281,83.6754536284197,81.343183804623,103613,66.4482256087557,69862,68.5109637939827,32363,36617,882,4254,6.08914717586098,1,"ES&S","Mostly optical scanners"
"38","Marinette",6243,31.25,12995,65.04,741,3.72,19979,2016,33.79,6752,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,25883,77.1896611675617,81.343183804623,33830,59.0570499556607,20777,62.4046374722172,9882,10619,276,737,3.5471916061029,0.08,"ES&S","Some or no optical scanners"
"39","Marquette",2808,35.94,4712,60.31,293,3.74,7813,2016,24.37,1904,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,9256,84.4101123595506,81.343183804623,12564,62.1856096784464,8105,65.5479175090983,4014,3992,99,-22,-0.27143738433066,0,NA,"Some or no optical scanners"
"40","Menominee",1003,78.42,269,21.03,7,0.55,1279,2016,-57.39,-734,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,1956,65.3885480572597,81.343183804623,2899,44.1186616074508,1377,48.2649842271293,1191,179,7,-1012,-73.4931009440813,1,"ES&S","Mostly optical scanners"
"41","Milwaukee",288986,66.44,126091,28.99,19893,4.57,434970,2016,-37.45,-162895,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,566816,76.7391887314402,81.343183804623,726351,59.8842708277403,492576,68.9059149223687,332438,154924,5214,-177514,-36.0378905996232,1,"ES&S","Mostly optical scanners"
"42","Monroe",7047,36.04,11442,58.51,1065,5.45,19554,2016,22.47,4395,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,23268,84.0381640020629,81.343183804623,33967,57.5676391792033,19485,58.2877142600736,9515,9675,295,160,0.821144470105209,0.147058823529412,"ES&S","Some or no optical scanners"
"43","Oconto",5886,29.54,13255,66.53,783,3.94,19924,2016,36.99,7369,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,23732,83.9541547277937,81.343183804623,29959,66.504222437331,19859,67.355175688509,8865,10741,253,1876,9.44659851956292,0.642857142857143,"ES&S","Some or no optical scanners"
"44","Oneida",8103,38.89,11677,56.04,1057,5.08,20837,2016,17.15,3574,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,25326,82.2751322751323,81.343183804623,30012,69.4288951086232,21652,73.307150595883,10452,10917,283,465,2.14760761130611,0.619047619047619,"ES&S","Some or no optical scanners"
"45","Outagamie",38117,40.05,51579,54.2,5466,5.74,95162,2016,14.15,13462,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,111477,85.3646940624523,81.343183804623,136085,69.9283536025278,94596,70.6309266034496,45659,47372,1565,1713,1.81085881009768,0.67741935483871,"ES&S","Some or no optical scanners"
"46","Ozaukee",20167,37.79,30458,57.07,2743,5.15,53368,2016,19.28,10291,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,64602,82.6104454970434,81.343183804623,67559,78.994656522447,55817,83.9492246837823,19159,36077,581,16918,30.30976225881,1,"ES&S","Mostly optical scanners"
"47","Pepin",1345,35.9,2228,59.48,173,4.62,3746,2016,23.58,883,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,4435,84.4644870349493,81.343183804623,5882,63.685821149269,3699,63.9080856945404,1876,1794,29,-82,-2.21681535550149,0,NA,"Some or no optical scanners"
"48","Pierce",8380,39.74,11260,53.39,1449,6.87,21089,2016,13.65,2880,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,25175,83.7696127110228,81.343183804623,32581,64.7279089039624,21020,65.5543427413067,10235,10397,388,162,0.77069457659372,0.76,"ES&S","Mostly optical scanners"
"49","Polk",7568,33.35,13864,61.1,1259,5.54,22691,2016,27.75,6296,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,26623,85.2308154603163,81.343183804623,34421,65.9219662415386,22573,66.6341953005077,10073,12094,406,2021,8.95317414610375,0.285714285714286,"ES&S","Some or no optical scanners"
"50","Portage",18524,48.59,17310,45.41,2289,6.01,38123,2016,-3.18000000000001,-1214,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,47530,80.2082895013676,81.343183804623,57245,66.5962092759193,39337,69.8232099116049,22075,16615,647,-5460,-13.880062028116,0.407407407407407,"ES&S","Some or no optical scanners"
"51","Price",2671,35.33,4562,60.34,327,4.33,7560,2016,25.01,1891,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,9287,81.4041132766232,81.343183804623,11609,65.1218881901973,7901,69.1553610503282,3887,3884,130,-3,-0.0379698772307303,0,NA,"Some or no optical scanners"
"52","Racine",42506,45.37,46620,49.77,4552,4.86,93678,2016,4.40000000000001,4114,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,116894,80.1392714767225,81.343183804623,149888,62.4986656703672,103364,70.0701623563705,53008,49347,1009,-3661,-3.54185209550714,1,"ES&S","Mostly optical scanners"
"53","Richland",3577,44.93,4021,50.5,364,4.57,7962,2016,5.57,444,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,10375,76.7421686746988,81.343183804623,14118,56.3960900977476,8655,62.2930761479775,4969,3573,113,-1396,-16.1294049682265,0,NA,"Some or no optical scanners"
"54","Rock",39336,52.42,31483,41.95,4224,5.63,75043,2016,-10.47,-7853,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,93821,79.9852911395103,81.343183804623,122449,61.2851064524823,80690,66.9570989959339,49219,30517,954,-18702,-23.1775932581485,1,"ES&S","Mostly optical scanners"
"55","Rusk",2171,30.89,4564,64.93,294,4.18,7029,2016,34.04,2393,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,8218,85.5317595522025,81.343183804623,11675,60.2055674518201,7191,62.5848563968668,3397,3676,118,279,3.87984981226533,0.0303030303030303,"ES&S","Some or no optical scanners"
"56","Sauk",16050,47.42,15871,46.89,1927,5.69,33848,2016,-0.530000000000001,-179,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,37945,89.2027935169324,81.343183804623,48191,70.2371812164097,31927,67.3167749009024,18736,12838,353,-5898,-18.4733924264729,1,"ES&S","Mostly optical scanners"
"57","Sawyer",2846,36.64,4625,59.55,296,3.81,7767,2016,22.91,1779,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,11298,68.7466808284652,81.343183804623,13455,57.7257525083612,9025,68.1543573478326,4486,4442,97,-44,-0.487534626038781,0,NA,"Some or no optical scanners"
"58","Shawano",6056,30.75,12742,64.69,899,4.57,19697,2016,33.94,6686,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,24135,81.6117671431531,81.343183804623,33027,59.6390831743725,20279,62.3892444006892,9000,11022,257,2022,9.97090586320824,0.5,"ES&S","Some or no optical scanners"
"59","Sheboygan",22636,38.83,32368,55.53,3286,5.63,58290,2016,16.7,9732,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,71453,81.5781002897009,81.343183804623,89767,64.9347755856829,62651,70.9154913635026,27918,34072,661,6154,9.82266843306571,1,"ES&S","Mostly optical scanners"
"60","St. Croix",17496,37.37,26123,55.8,3200,6.83,46819,2016,18.43,8627,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,56905,82.2757226957209,81.343183804623,63098,74.2004500935053,46225,74.4375915876262,19910,25503,812,5593,12.0995132504056,0.848484848484849,"ES&S","Mostly optical scanners"
