"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit"
"23","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-14-CALUMET","CITY OF APPLETON WARD 14 CALUMET","CITY OF APPLETON","CALUMET",361,45.9287531806616,37,786,4.70737913486005,388,49.3638676844784,364,14,783,405,46.4878671775224,51.7241379310345,1.78799489144317,-3,-17,23,-0.559113996860773,-2.36027024655611,2.91938424341688,0,0,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
"24","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-15-OUTAGAMIE","CITY OF APPLETON WARD 15 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",355,46.8337730870712,35,758,4.61741424802111,368,48.5488126649077,395,14,846,437,46.6903073286052,51.6548463356974,1.6548463356974,-40,-69,21,0.143465758466036,-3.10603367078975,2.96256791232371,0,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"25","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-16-OUTAGAMIE","CITY OF APPLETON WARD 16 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",313,47.9326186830015,38,653,5.81929555895865,302,46.2480857580398,384,12,719,323,53.4075104311544,44.923504867872,1.66898470097357,-71,-21,26,-5.47489174815285,1.32458089016777,4.15031085798508,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"26","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-17-OUTAGAMIE","CITY OF APPLETON WARD 17 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",357,47.8552278820375,39,746,5.22788203753351,350,46.9168900804289,391,10,790,389,49.4936708860759,49.2405063291139,1.26582278481013,-34,-39,29,-1.63844300403841,-2.32361624868498,3.96205925272339,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"27","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-18-OUTAGAMIE","CITY OF APPLETON WARD 18 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",255,42.713567839196,29,597,4.85762144053601,313,52.428810720268,261,7,637,369,40.9733124018838,57.9277864992151,1.0989010989011,-6,-56,22,1.74025543731215,-5.49897577894707,3.75872034163491,0,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"28","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-19-OUTAGAMIE","CITY OF APPLETON WARD 19 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",531,38.4503982621289,51,1381,3.69297610427227,799,57.8566256335988,464,15,1433,954,32.3796231681786,66.5736217725052,1.04675505931612,67,-155,36,6.07077509395025,-8.71699613890639,2.64622104495615,0,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"29","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-2-OUTAGAMIE","CITY OF APPLETON WARD 2 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",686,51.4628657164291,132,1333,9.90247561890473,515,38.6346586646662,851,40,1398,507,60.8726752503577,36.2660944206009,2.86123032904149,-165,8,92,-9.40980953392855,2.36856424406531,7.04124528986324,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"30","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-20-OUTAGAMIE","CITY OF APPLETON WARD 20 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",412,41.1177644710579,65,1002,6.48702594810379,525,52.3952095808383,314,8,884,562,35.5203619909502,63.5746606334842,0.904977375565611,98,-37,57,5.59740248010765,-11.1794510526458,5.58204857253818,0,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"31","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-21-OUTAGAMIE","CITY OF APPLETON WARD 21 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",7,30.4347826086957,3,23,13.0434782608696,13,56.5217391304348,9,0,29,20,31.0344827586207,68.9655172413793,0,-2,-7,3,-0.599700149925035,-12.4437781109445,13.0434782608696,0,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"32","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-22-OUTAGAMIE","CITY OF APPLETON WARD 22 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",8,20,0,40,0,32,80,3,0,18,15,16.6666666666667,83.3333333333333,0,5,17,0,3.33333333333334,-3.33333333333334,0,0,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"33","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-24-OUTAGAMIE","CITY OF APPLETON WARD 24 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",231,52.9816513761468,37,436,8.48623853211009,168,38.5321100917431,253,16,480,211,52.7083333333333,43.9583333333333,3.33333333333333,-22,-43,21,0.27331804281345,-5.42622324159021,5.15290519877676,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
