"","county","dem.change","rep.change","oth.change","turnout.change","papernopaper","scan.machines.prop","ratio_white_nonwhite","ratio_nocollege_college","pop_sq_mile_2010","medianhouseholdincome_2009.2013","turnout","total.voting.age","dem.wins","dem.2016"
"48","Pierce",-8.95172216936251,3.92758325404377,5.02413891531874,-0.826433837344297,2,0.76,19.4,2.9,71.5,59226,21089,32581,3,"Rep2016"
"49","Polk",-11.274108448146,7.52271740575024,3.74139104239578,-0.712229058969143,2,0.285714285714286,21.7,4.2,48.4,48538,22691,34421,0,"Rep2016"
"50","Portage",-7.52765004957165,3.17241197854437,4.36523807102728,-3.22700063568566,1,0.407407407407407,11.8,2.6,87.4,50996,38123,57245,5,"Dem2016"
"51","Price",-13.8663042652829,11.1816656119479,2.68463865333502,-4.03347286013096,2,0,21.2,5.5,11.3,42644,7560,11609,3,"Rep2016"
"52","Racine",-5.91284509113424,2.0290070043729,3.88383808676135,-7.57149668600333,2,1,2.8,3.3,587.7,54090,93678,149888,2,"Rep2016"
"53","Richland",-12.4819006354708,9.21750433275563,3.26439630271519,-5.89698605022999,2,0,20.7,5.7,30.7,45271,7962,14118,2,"Rep2016"
"54","Rock",-8.57764530920808,4.12994794894039,4.44769736026769,-5.67199254345169,1,1,5.2,4.2,223.3,49435,75043,122449,5,"Dem2016"
"55","Rusk",-16.3496050618829,13.8105451258518,2.53905993603115,-2.37928894504671,2,0.0303030303030303,24.6,6,16.2,38658,7029,11675,1,"Rep2016"
"56","Sauk",-11.263872584333,6.67951984213988,4.58435274219313,2.92040631550729,1,1,11,3.8,74.6,52140,33848,48191,5,"Dem2016"
"57","Sawyer",-13.0663711911357,10.331163434903,2.73520775623269,-10.4286048394714,2,0,3.5,3.5,13.2,39904,7767,13455,2,"Rep2016"
"58","Shawano",-13.6308866314907,10.338207505301,3.30267912618965,-2.75016122631666,2,0.5,6.9,5.5,47,46559,19697,33027,1,"Rep2016"
"59","Sheboygan",-5.73114028507127,1.14619128186302,4.57494900320825,-5.98071577781965,2,1,6.2,3.5,225.9,52920,58290,89767,0,"Rep2016"
"60","St. Croix",-5.70193077339102,0.628555976203351,5.07337479718767,-0.237141494120863,1,0.848484848484849,17.5,2,116.8,68426,46819,63098,0,"Rep2016"
"61","Taylor",-14.1005550883095,11.0864844407065,3.00407064760303,-1.5606342384636,2,0.222222222222222,29.3,6.4,21.2,44869,9417,15926,0,"Rep2016"
"62","Trempealeau",-14.8427290260366,11.9363452266152,2.91638379942141,-0.521783220517257,2,0.115384615384615,11,4.7,39.3,49143,13581,22414,4,"Rep2016"
"63","Vernon",-11.6239575303105,7.63727801527788,3.99667951503259,-1.36465846884391,2,0.03125,28.4,4.1,37.6,45488,14193,22404,4,"Rep2016"
"64","Vilas",-7.54234214708857,4.73820546163849,2.79413668545008,-3.39519470198475,2,1,6.1,3.1,25,40833,13453,18029,0,"Rep2016"
"65","Walworth",-6.12798558400092,1.59237806626771,4.53560751773321,-3.21382572261103,2,1,6.1,2.8,184.2,54020,50570,80116,0,"Rep2016"
"66","Washburn",-11.6441391191989,9.05239043824701,2.59174868095187,-2.9198131860459,2,0.04,18.6,3.9,20,41924,9059,12932,1,"Rep2016"
"67","Washington",-2.07013156892129,-1.70992253181275,3.78005410073404,-3.68887997336526,1,1,14.9,2.6,306.2,66159,76246,102003,0,"Rep2016"
"68","Waukesha",1.21445902499836,-5.16989108326226,3.96543205826389,-3.79925310555876,1,1,8.8,1.5,709.4,75850,236269,302945,0,"Rep2016"
"69","Waupaca",-12.2365015479876,8.63269349845202,3.6038080495356,-1.8501053494041,2,0.352941176470588,19,5,70.1,50822,25491,41346,1,"Rep2016"
"70","Waushara",-12.491208499336,9.65452855245685,2.85667994687915,-1.39934903977473,2,0.08,9,6,39.1,43070,11961,20075,1,"Rep2016"
"71","Winnebago",-7.82722101981541,3.343728931403,4.48349208841241,-3.51626467652059,2,1,8.8,2.9,384.3,51010,85892,134103,2,"Rep2016"
"72","Wood",-10.0260668380463,6.36704370179949,3.66902313624679,-3.0850916724751,1,0.882352941176471,13.9,4.3,94.2,47685,37712,58795,1,"Rep2016"
