county,Total Voter Reg,TotalTurnout_2016,Hillary Clinton_2016,Donald J. Trump_2016,other_2016,Total_2016,HRCmargin_2016,change%_D,change%_R,change%_other,change%_Total,HRC%_2016,DJT%_2016,other%_2016,County%_2016,Dwin_2016 (1=Dem win),Switch (1=switch),Method_2016.1paperonly.2.paper.machine.combo,Obama_2012,Romney_2012,Others_2012,Total_2012,BHO%_2012,MR%_2012,other%_2012,County_2012,Dwin_2012,"Method_2012 (1=paper only, 2=paper and machine combo)",pop_2014_est,pop_voterage_2014_est_calc,pop_2010_real,%under18_2013,%whitewithlatino_2013,%blackonly_2013,pop_blackonly_2013_calc,%whitenolatino_2013,pop_whitenolatino_2013_calc,pop_nonwhite_2013_calc,%_collegedegreepersons25+_2013,pop_collegedegreepersons25+_2013_calc,ratio_white_nonwhite,ratio_white_black,ratio_nocollege_college,medianhouseholdincome_2009-2013,pop_sq_mile_2010
Ashland,9844,80.52%,"4,136","3,428",362,"7,926",708,-23.39%,21.56%,136.60%,-5.33%,52.18%,43.25%,4.57%,0.27%,1,0,1,"5,399","2,820",153,"8,372",64.49%,33.68%,1.83%,0.27%,1,1,16103,12464,16157,22.6,84.7,0.5,62,83.5,10407,2057,21.7,2705,5.1,167,3.6,38550,15.5
Richland,9924,80.23%,"3,577","4,021",364,"7,962",-444,-28.01%,12.54%,222.12%,-8.01%,44.93%,50.50%,4.57%,0.27%,0,1,2,"4,969","3,573",113,"8,655",57.41%,41.28%,1.31%,0.28%,1,2,17662,13688,18021,22.5,97.5,0.6,82,95.4,13058,630,15,2053,20.7,159,5.7,45271,30.7
Burnett,10087,86.44%,"2,948","5,412",359,"8,719",-2464,-26.04%,18.95%,154.61%,0.48%,33.81%,62.07%,4.12%,0.30%,0,0,2,"3,986","4,550",141,"8,677",45.94%,52.44%,1.62%,0.28%,0,2,15328,12477,15457,18.6,91.5,0.7,87,90.4,11279,1198,16.7,2084,9.4,129.1,5,39564,18.8
Washburn,10869,83.35%,"3,283","5,404",372,"9,059",-2121,-26.17%,15.00%,163.83%,-2.46%,36.24%,59.65%,4.11%,0.31%,0,0,2,"4,447","4,699",141,"9,287",47.88%,50.60%,1.52%,0.30%,0,2,15694,12602,15911,19.7,96.1,0.5,63,94.9,11960,643,20.3,2558,18.6,189.8,3.9,41924,20
Jackson,11091,82.97%,"3,821","4,907",474,"9,202",-1086,-27.88%,25.82%,312.17%,-1.19%,41.52%,53.33%,5.15%,0.31%,0,1,2,"5,298","3,900",115,"9,313",56.89%,41.88%,1.23%,0.30%,1,2,20652,15985,20449,22.6,88.9,2.1,336,86.8,13875,2110,14.8,2366,6.6,41.3,5.8,44149,20.7
Green Lake,11154,83.51%,"2,700","6,210",405,"9,315",-3510,-28.82%,7.40%,305.00%,-3.72%,28.99%,66.67%,4.35%,0.32%,0,0,2,"3,793","5,782",100,"9,675",39.20%,59.76%,1.03%,0.32%,0,2,18836,14523,19051,22.9,97.6,0.6,87,93.3,13550,973,16.6,2411,13.9,155.5,5,46994,54.5
Taylor,10989,85.69%,"2,398","6,589",430,"9,417",-4191,-36.27%,17.64%,190.54%,-1.00%,25.46%,69.97%,4.57%,0.32%,0,0,2,"3,763","5,601",148,"9,512",39.56%,58.88%,1.56%,0.31%,0,2,20540,15651,20689,23.8,98.1,0.4,63,96.7,15135,516,13.6,2129,29.3,241.8,6.4,44869,21.2
Bayfield,11299,84.00%,"4,953","4,125",413,"9,491",828,-17.90%,14.39%,177.18%,-3.03%,52.19%,43.46%,4.35%,0.32%,1,0,1,"6,033","3,606",149,"9,788",61.64%,36.84%,1.52%,0.32%,1,1,14985,12228,15014,18.4,86.2,0.6,73,85.4,10443,1785,28.5,3485,5.8,142.3,2.5,44944,10.2
Langlade,11983,84.23%,"3,260","6,436",397,"10,093",-3176,-28.71%,10.66%,205.38%,-4.05%,32.30%,63.77%,3.93%,0.34%,0,0,2,"4,573","5,816",130,"10,519",43.47%,55.29%,1.24%,0.34%,0,2,19410,15489,19977,20.2,96.3,0.7,108,94.9,14699,790,13.2,2045,18.6,135.6,6.6,42389,22.9
Adams,11892,84.99%,"3,780","5,983",344,"10,107",-2203,-31.79%,28.83%,240.59%,-1.75%,37.40%,59.20%,3.40%,0.34%,0,1,2,"5,542","4,644",101,"10,287",53.87%,45.14%,0.98%,0.34%,1,2,20215,17142,20875,15.2,94,3.2,549,90.7,15548,1594,12.1,2074,9.8,28.3,7.3,44897,32.3
