"","county","cand","votes.rec","votes.perc","cand.group"
"155","Green","Darrell Castle",79,0.42,"Other"
"156","Green","Hillary Clinton",9121,48.54,"Clinton"
"157","Green","Rocky Roque De La Fuente",4,0.02,"Other"
"158","Green","Gary Johnson",687,3.66,"Other"
"159","Green","Monica Moorehead",11,0.06,"Other"
"160","Green","Jill Stein",196,1.04,"Other"
"161","Green","Donald J. Trump",8693,46.26,"Trump"
"162","Green Lake","Darrell Castle",48,0.52,"Other"
"163","Green Lake","Hillary Clinton",2700,28.99,"Clinton"
"164","Green Lake","Rocky Roque De La Fuente",1,0.01,"Other"
"165","Green Lake","Gary Johnson",274,2.94,"Other"
"166","Green Lake","Monica Moorehead",8,0.09,"Other"
"167","Green Lake","Jill Stein",74,0.79,"Other"
"168","Green Lake","Donald J. Trump",6210,66.67,"Trump"
"169","Iowa","Darrell Castle",60,0.49,"Other"
"170","Iowa","Hillary Clinton",6669,55.01,"Clinton"
"171","Iowa","Rocky Roque De La Fuente",5,0.04,"Other"
"172","Iowa","Gary Johnson",456,3.76,"Other"
"173","Iowa","Monica Moorehead",12,0.1,"Other"
"174","Iowa","Jill Stein",112,0.92,"Other"
"175","Iowa","Donald J. Trump",4809,39.67,"Trump"
"176","Iron","Darrell Castle",8,0.23,"Other"
"177","Iron","Hillary Clinton",1273,36.61,"Clinton"
"178","Iron","Rocky Roque De La Fuente",3,0.09,"Other"
"179","Iron","Gary Johnson",72,2.07,"Other"
"180","Iron","Monica Moorehead",0,0,"Other"
"181","Iron","Jill Stein",31,0.89,"Other"
"182","Iron","Donald J. Trump",2090,60.11,"Trump"
"183","Jackson","Darrell Castle",51,0.55,"Other"
"184","Jackson","Hillary Clinton",3821,41.52,"Clinton"
"185","Jackson","Rocky Roque De La Fuente",13,0.14,"Other"
"186","Jackson","Gary Johnson",300,3.26,"Other"
"187","Jackson","Monica Moorehead",5,0.05,"Other"
"188","Jackson","Jill Stein",105,1.14,"Other"
"189","Jackson","Donald J. Trump",4907,53.33,"Trump"
"190","Jefferson","Darrell Castle",179,0.42,"Other"
"191","Jefferson","Hillary Clinton",16559,39.12,"Clinton"
"192","Jefferson","Rocky Roque De La Fuente",26,0.06,"Other"
"193","Jefferson","Gary Johnson",1660,3.92,"Other"
"194","Jefferson","Monica Moorehead",29,0.07,"Other"
"195","Jefferson","Jill Stein",462,1.09,"Other"
"196","Jefferson","Donald J. Trump",23409,55.31,"Trump"
"197","Juneau","Darrell Castle",41,0.35,"Other"
"198","Juneau","Hillary Clinton",4100,34.94,"Clinton"
"199","Juneau","Rocky Roque De La Fuente",7,0.06,"Other"
"200","Juneau","Gary Johnson",286,2.44,"Other"
"201","Juneau","Monica Moorehead",8,0.07,"Other"
"202","Juneau","Jill Stein",106,0.9,"Other"
"203","Juneau","Donald J. Trump",7188,61.25,"Trump"
"204","Kenosha","Darrell Castle",331,0.44,"Other"
"205","Kenosha","Hillary Clinton",35770,47.17,"Clinton"
"206","Kenosha","Rocky Roque De La Fuente",53,0.07,"Other"
"207","Kenosha","Gary Johnson",2731,3.6,"Other"
"208","Kenosha","Monica Moorehead",48,0.06,"Other"
"209","Kenosha","Jill Stein",867,1.14,"Other"
"210","Kenosha","Donald J. Trump",36025,47.51,"Trump"
"211","Kewaunee","Darrell Castle",64,0.6,"Other"
"212","Kewaunee","Hillary Clinton",3623,33.73,"Clinton"
"213","Kewaunee","Rocky Roque De La Fuente",4,0.04,"Other"
"214","Kewaunee","Gary Johnson",348,3.24,"Other"
"215","Kewaunee","Monica Moorehead",8,0.07,"Other"
"216","Kewaunee","Jill Stein",79,0.74,"Other"
"217","Kewaunee","Donald J. Trump",6616,61.59,"Trump"
"218","La Crosse","Darrell Castle",313,0.5,"Other"
"219","La Crosse","Hillary Clinton",32402,51.61,"Clinton"
"220","La Crosse","Rocky Roque De La Fuente",52,0.08,"Other"
"221","La Crosse","Gary Johnson",2673,4.26,"Other"
"222","La Crosse","Monica Moorehead",41,0.07,"Other"
"223","La Crosse","Jill Stein",920,1.47,"Other"
"224","La Crosse","Donald J. Trump",26384,42.02,"Trump"
"225","Lafayette","Darrell Castle",46,0.61,"Other"
"226","Lafayette","Hillary Clinton",3288,43.25,"Clinton"
"227","Lafayette","Rocky Roque De La Fuente",0,0,"Other"
"228","Lafayette","Gary Johnson",238,3.13,"Other"
"229","Lafayette","Monica Moorehead",4,0.05,"Other"
"230","Lafayette","Jill Stein",49,0.64,"Other"
"231","Lafayette","Donald J. Trump",3977,52.32,"Trump"
"232","Langlade","Darrell Castle",43,0.43,"Other"
"233","Langlade","Hillary Clinton",3260,32.3,"Clinton"
"234","Langlade","Rocky Roque De La Fuente",4,0.04,"Other"
"235","Langlade","Gary Johnson",279,2.76,"Other"
"236","Langlade","Monica Moorehead",5,0.05,"Other"
"237","Langlade","Jill Stein",66,0.65,"Other"
"238","Langlade","Donald J. Trump",6436,63.77,"Trump"
"239","Lincoln","Darrell Castle",64,0.44,"Other"
"240","Lincoln","Hillary Clinton",5370,36.87,"Clinton"
"241","Lincoln","Rocky Roque De La Fuente",7,0.05,"Other"
"242","Lincoln","Gary Johnson",595,4.09,"Other"
"243","Lincoln","Monica Moorehead",13,0.09,"Other"
"244","Lincoln","Jill Stein",114,0.78,"Other"
"245","Lincoln","Donald J. Trump",8400,57.68,"Trump"
"246","Manitowoc","Darrell Castle",231,0.58,"Other"
"247","Manitowoc","Hillary Clinton",14563,36.42,"Clinton"
"248","Manitowoc","Rocky Roque De La Fuente",26,0.07,"Other"
"249","Manitowoc","Gary Johnson",1559,3.9,"Other"
"250","Manitowoc","Monica Moorehead",31,0.08,"Other"
"251","Manitowoc","Jill Stein",347,0.87,"Other"
"252","Manitowoc","Donald J. Trump",23234,58.1,"Trump"
"253","Marathon","Darrell Castle",331,0.48,"Other"
"254","Marathon","Hillary Clinton",26476,38.46,"Clinton"
"255","Marathon","Rocky Roque De La Fuente",32,0.05,"Other"
"256","Marathon","Gary Johnson",2330,3.38,"Other"
"257","Marathon","Monica Moorehead",29,0.04,"Other"
"258","Marathon","Jill Stein",641,0.93,"Other"
"259","Marathon","Donald J. Trump",39010,56.66,"Trump"
"260","Marinette","Darrell Castle",80,0.4,"Other"
"261","Marinette","Hillary Clinton",6243,31.25,"Clinton"
"262","Marinette","Rocky Roque De La Fuente",13,0.07,"Other"
"263","Marinette","Gary Johnson",507,2.54,"Other"
"264","Marinette","Monica Moorehead",10,0.05,"Other"
"265","Marinette","Jill Stein",131,0.66,"Other"
"266","Marinette","Donald J. Trump",12995,65.04,"Trump"
"267","Marquette","Darrell Castle",43,0.55,"Other"
"268","Marquette","Hillary Clinton",2808,35.94,"Clinton"
"269","Marquette","Rocky Roque De La Fuente",5,0.06,"Other"
"270","Marquette","Gary Johnson",187,2.39,"Other"
"271","Marquette","Monica Moorehead",8,0.1,"Other"
"272","Marquette","Jill Stein",50,0.64,"Other"
"273","Marquette","Donald J. Trump",4712,60.31,"Trump"
"274","Menominee","Darrell Castle",0,0,"Other"
