"","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality","county","hand","os.use","tch.use","bmd.use"
"798","TOWN OF LAKE HOLCOMBE CHIPPEWA",171,29.4320137693632,13,581,2.23752151462995,665,397,68.3304647160069,254,1,565,310,84.9624060150376,44.9557522123894,54.8672566371681,0.176991150442478,-83,87,12,-15.5237384430262,13.4632080788387,2.06053036418747,87.3684210526316,2.40601503759399,0,0,"CHIPPEWA","TOWN OF LAKE HOLCOMBE","TOWN OF LAKE HOLCOMBE WARDS 1-2",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF LAKE HOLCOMBE CHIPPEWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5501741550",1,671,"Wisconsin","Chippewa Town","Lake Holcombe","DRE-Touchscreen","Yes","Town","TOWN OF LAKE HOLCOMBE","CHIPPEWA",0,1,1,0
"799","TOWN OF LAKE MARINETTE",175,26.5553869499241,18,659,2.73141122913505,801,466,70.7132018209408,269,8,591,314,73.7827715355805,45.5160744500846,53.1302876480541,1.35363790186125,-94,152,10,-18.9606875001605,17.5829141728867,1.3777733272738,82.2721598002497,8.48938826466916,0,0,"MARINETTE","TOWN OF LAKE","TOWN OF LAKE WARDS 1-2",0,NA,NA,NA,"TOWN OF LAKE MARINETTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5507541075",1,725,"Wisconsin","Marinette Town","Lake","DRE-Touchscreen","Yes","Town","TOWN OF LAKE","MARINETTE",1,0,1,0
"800","TOWN OF LAKE MILLS JEFFERSON",575,46.7479674796748,94,1230,7.64227642276423,1405,561,45.609756097561,647,14,1294,633,92.0996441281139,50,48.9180834621329,1.08191653786708,-72,-72,80,-3.2520325203252,-3.30832736457194,6.56035988489715,87.5444839857651,-4.55516014234875,1,1,"JEFFERSON","TOWN OF LAKE MILLS","TOWN OF LAKE MILLS WARDS 1-3",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF LAKE MILLS JEFFERSON",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5505541700",1,1416,"Wisconsin","Jefferson Town","Lake Mills","Optical Scan","Yes","Town","TOWN OF LAKE MILLS","JEFFERSON",0,1,0,1
"801","TOWN OF LAKE PRICE",263,39.9696048632219,19,658,2.88753799392097,815,376,57.1428571428571,383,14,694,297,85.1533742331288,55.1873198847262,42.7953890489914,2.01729106628242,-120,79,5,-15.2177150215043,14.3474680938658,0.870246927638552,80.7361963190184,-4.41717791411043,0,1,"PRICE","TOWN OF LAKE","TOWN OF LAKE WARDS 1-2",0,NA,NA,NA,"TOWN OF LAKE PRICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5509941150",1,780,"Wisconsin","Price Town","Lake","DRE-Touchscreen","Yes","Town","TOWN OF LAKE","PRICE",1,0,1,0
"802","TOWN OF LAKE TOMAHAWK ONEIDA",224,34.5679012345679,25,648,3.85802469135802,720,399,61.5740740740741,271,7,661,383,91.8055555555556,40.9984871406959,57.9425113464448,1.0590015128593,-47,16,18,-6.43058590612802,3.63156272762929,2.79902317849872,90,-1.80555555555556,0,0,"ONEIDA","TOWN OF LAKE TOMAHAWK","TOWN OF LAKE TOMAHAWK WARDS 1-2",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","TOWN OF LAKE TOMAHAWK ONEIDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5508541887",1,726,"Wisconsin","Oneida Town","Lake Tomahawk","DRE-Touchscreen","Yes","Town","TOWN OF LAKE TOMAHAWK","ONEIDA",0,1,1,0
"803","TOWN OF LAKELAND BARRON",201,35.7015985790409,21,563,3.73001776198934,653,341,60.5683836589698,272,6,575,297,88.0551301684533,47.304347826087,51.6521739130435,1.04347826086957,-71,44,15,-11.6027492470461,8.91620974592633,2.68653950111978,86.2174578866769,-1.83767228177642,0,0,"BARRON","TOWN OF LAKELAND","TOWN OF LAKELAND WARD 1-2",0,NA,NA,NA,"TOWN OF LAKELAND BARRON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5500541600",1,655,"Wisconsin","Barron Town","Lakeland","DRE-Touchscreen","Yes","Town","TOWN OF LAKELAND","BARRON",1,0,1,0
"804","TOWN OF LAKESIDE DOUGLAS",164,42.7083333333333,29,384,7.55208333333333,492,191,49.7395833333333,223,7,388,158,78.8617886178862,57.4742268041237,40.7216494845361,1.80412371134021,-59,33,22,-14.7658934707904,9.01793384879725,5.74795962199313,78.0487804878049,-0.8130081300813,0,1,"DOUGLAS","TOWN OF LAKESIDE","TOWN OF LAKESIDE WARD 1",1,"ES&S","ES&S M100","ES&S Automark","TOWN OF LAKESIDE DOUGLAS",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5503141800",1,447,"Wisconsin","Douglas Town","Lakeside","Ballot Marking Device or System","Yes","Town","TOWN OF LAKESIDE","DOUGLAS",0,1,0,1
"805","TOWN OF LAKETOWN POLK",189,33.4513274336283,29,565,5.13274336283186,630,347,61.4159292035398,253,6,545,286,86.5079365079365,46.4220183486239,52.4770642201835,1.10091743119266,-64,61,23,-12.9706909149955,8.93886498335633,4.0318259316392,89.6825396825397,3.17460317460318,0,0,"POLK","TOWN OF LAKETOWN","TOWN OF LAKETOWN WARD 1",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF LAKETOWN POLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5509541900",1,643,"Wisconsin","Polk Town","Laketown","DRE-Touchscreen","Yes","Town","TOWN OF LAKETOWN","POLK",0,1,1,0
"806","TOWN OF LAKEWOOD OCONTO",192,33.2755632582322,20,577,3.46620450606586,651,365,63.2582322357019,239,7,570,324,87.5576036866359,41.9298245614035,56.8421052631579,1.2280701754386,-47,41,13,-8.65426130317127,6.41612697254401,2.23813433062726,88.6328725038402,1.0752688172043,0,0,"OCONTO","TOWN OF LAKEWOOD","TOWN OF LAKEWOOD WARD 1",0,NA,NA,NA,"TOWN OF LAKEWOOD OCONTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5508342075",1,649,"Wisconsin","Oconto Town","Lakewood","DRE-Touchscreen","Yes","Town","TOWN OF LAKEWOOD","OCONTO",1,0,1,0
"807","TOWN OF LAMARTINE FOND DU LAC",243,23.8001958863859,56,1021,5.48481880509305,1198,722,70.7149853085211,341,19,1048,688,87.4791318864775,32.5381679389313,65.6488549618321,1.81297709923664,-98,34,37,-8.7379720525454,5.06613034668901,3.67184170585641,85.2253756260434,-2.25375626043405,0,0,"FOND DU LAC","TOWN OF LAMARTINE","TOWN OF LAMARTINE WARDS 1-2",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF LAMARTINE FOND DU LAC",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5503942125",1,1122,"Wisconsin","Fond du Lac Town","Lamartine","Optical Scan","Yes","Town","TOWN OF LAMARTINE","FOND DU LAC",0,1,0,1
"808","TOWN OF LAMONT LAFAYETTE",66,41.5094339622642,9,159,5.66037735849057,192,84,52.8301886792453,89,2,159,68,82.8125,55.9748427672956,42.7672955974843,1.25786163522013,-23,16,7,-14.4654088050314,10.062893081761,4.40251572327044,82.8125,0,0,1,"LAFAYETTE","TOWN OF LAMONT","TOWN OF LAMONT WARDS 1-2",0,NA,NA,NA,"TOWN OF LAMONT LAFAYETTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5506542175",1,193,"Wisconsin","Lafayette Town","Lamont","DRE-Touchscreen","Yes","Town","TOWN OF LAMONT","LAFAYETTE",1,0,1,0
"809","TOWN OF LANARK PORTAGE",348,40,48,870,5.51724137931035,978,474,54.4827586206897,432,17,874,425,89.3660531697341,49.4279176201373,48.6270022883295,1.94508009153318,-84,49,31,-9.4279176201373,5.85575633236013,3.57216128777716,88.9570552147239,-0.408997955010221,0,1,"PORTAGE","TOWN OF LANARK","TOWN OF LANARK WARDS 1-2",0,NA,NA,NA,"TOWN OF LANARK PORTAGE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5509742225",1,981,"Wisconsin","Portage Town","Lanark","Hand Counted Paper Ballots","Yes","Town","TOWN OF LANARK","PORTAGE",1,0,0,1
"810","TOWN OF LAND O-LAKES VILAS",184,31.5608919382504,32,583,5.48885077186964,683,367,62.9502572898799,229,3,589,357,86.2371888726208,38.8794567062818,60.6112054329372,0.509337860780985,-45,10,29,-7.31856476803141,2.33905185694275,4.97951291108865,85.3587115666179,-0.878477306002935,0,0,"VILAS","TOWN OF LAND O-LAKES","TOWN OF LAND O-LAKES WARD 1",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF LAND O-LAKES VILAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5512542325",1,681,"Wisconsin","Vilas Town","Land O-Lakes","DRE-Touchscreen","Yes","Town","TOWN OF LAND O-LAKES","VILAS",0,1,1,0
"811","TOWN OF LANGLADE LANGLADE",90,32.1428571428571,10,280,3.57142857142857,318,180,64.2857142857143,127,2,280,151,88.0503144654088,45.3571428571429,53.9285714285714,0.714285714285714,-37,29,8,-13.2142857142857,10.3571428571429,2.85714285714286,88.0503144654088,0,0,0,"LANGLADE","TOWN OF LANGLADE","TOWN OF LANGLADE WARD 1-2",0,NA,NA,NA,"TOWN OF LANGLADE LANGLADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5506742425",1,319,"Wisconsin","Langlade Town","Langlade","DRE-Touchscreen","Yes","Town","TOWN OF LANGLADE","LANGLADE",1,0,1,0
"812","TOWN OF LAONA FOREST",213,35.4409317803661,29,601,4.82529118136439,736,359,59.7337770382696,320,4,624,300,84.7826086956522,51.2820512820513,48.0769230769231,0.641025641025641,-107,59,25,-15.8411195016852,11.6568539613465,4.18426554033875,81.6576086956522,-3.125,0,1,"FOREST","TOWN OF LAONA","TOWN OF LAONA WARDS 1-3",0,NA,NA,NA,"TOWN OF LAONA FOREST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5504142500",1,717,"Wisconsin","Forest Town","Laona","DRE-Touchscreen","Yes","Town","TOWN OF LAONA","FOREST",1,0,1,0
"813","TOWN OF LARRABEE WAUPACA",188,27.893175074184,25,674,3.70919881305638,755,461,68.3976261127597,269,5,693,419,91.7880794701987,38.8167388167388,60.4617604617605,0.721500721500722,-81,42,20,-10.9235637425548,7.93586565099919,2.98769809155566,89.2715231788079,-2.51655629139074,0,0,"WAUPACA","TOWN OF LARRABEE","TOWN OF LARRABEE WARDS 1-2",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","TOWN OF LARRABEE WAUPACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5513542650",1,761,"Wisconsin","Waupaca Town","Larrabee","DRE-Touchscreen","Yes","Town","TOWN OF LARRABEE","WAUPACA",0,1,1,0
"814","TOWN OF LAWRENCE BROWN",990,32.2160754962577,177,3073,5.75984380084608,3769,1906,62.0240807028962,1016,27,2708,1665,71.8492968957283,37.5184638109306,61.4844903988183,0.997045790251108,-26,241,150,-5.30238831467285,0.539590304077876,4.76279801059497,81.5335632793845,9.68426638365614,0,0,"BROWN","TOWN OF LAWRENCE","TOWN OF LAWRENCE WARDS 1-3",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF LAWRENCE BROWN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5500942900",1,3478,"Wisconsin","Brown Town","Lawrence","Ballot Marking Device or System","Yes","Town","TOWN OF LAWRENCE","BROWN",0,1,0,1
"815","TOWN OF LAWRENCE RUSK",26,20.4724409448819,11,127,8.66141732283465,148,90,70.8661417322835,50,6,137,81,92.5675675675676,36.4963503649635,59.1240875912409,4.37956204379562,-24,9,5,-16.0239094200816,11.7420541410426,4.28185527903903,85.8108108108108,-6.75675675675676,0,0,"RUSK","TOWN OF LAWRENCE","TOWN OF LAWRENCE WARD 1-2",0,NA,NA,NA,"TOWN OF LAWRENCE RUSK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5510742950",1,148,"Wisconsin","Rusk Town","Lawrence","Hand Counted Paper Ballots","Yes","Town","TOWN OF LAWRENCE","RUSK",1,0,1,0
"816","TOWN OF LEBANON DODGE",225,24.4831338411317,33,919,3.59085963003264,1036,661,71.9260065288357,306,6,982,670,94.7876447876448,31.1608961303462,68.2281059063136,0.610997963340122,-81,-9,27,-6.67776228921457,3.69790062252206,2.97986166669252,88.7065637065637,-6.08108108108108,0,0,"DODGE","TOWN OF LEBANON","TOWN OF LEBANON WARDS 1-2",1,"Dominion","Dominion (Premier)-Accuvote-OS","Dominion (Premier)-Accuvote TSX","TOWN OF LEBANON DODGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5502743050",1,1045,"Wisconsin","Dodge Town","Lebanon","DRE-Touchscreen","Yes","Town","TOWN OF LEBANON","DODGE",0,1,1,0
"817","TOWN OF LEBANON WAUPACA",279,31.2430011198208,44,893,4.92721164613662,1011,570,63.8297872340426,394,9,867,464,85.7566765578635,45.444059976932,53.517877739331,1.03806228373702,-115,106,35,-14.2010588571111,10.3119094947115,3.88914936239959,88.3283877349159,2.57171117705242,0,0,"WAUPACA","TOWN OF LEBANON","TOWN OF LEBANON WARDS 1-3",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF LEBANON WAUPACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5513543075",1,1019,"Wisconsin","Waupaca Town","Lebanon","Optical Scan","Yes","Town","TOWN OF LEBANON","WAUPACA",0,1,1,0
"818","TOWN OF LEDGEVIEW BROWN",1580,36.4727608494922,283,4332,6.53277931671284,5063,2469,56.994459833795,1488,28,4044,2528,79.8735927315821,36.7952522255193,62.5123639960435,0.692383778437191,92,-59,255,-0.322491376027131,-5.5179041622485,5.84039553827564,85.5619198103891,5.68832707880703,0,0,"BROWN","TOWN OF LEDGEVIEW","TOWN OF LEDGEVIEW WARDS 1-3,8-10",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF LEDGEVIEW BROWN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5500943090",2,5010,"Wisconsin","Brown Town","Ledgeview","Optical Scan","Yes","Town","TOWN OF LEDGEVIEW","BROWN",0,1,0,1
"819","TOWN OF LEEDS COLUMBIA",195,40.9663865546218,42,476,8.82352941176471,525,239,50.2100840336134,259,8,511,244,97.3333333333333,50.6849315068493,47.7495107632094,1.56555772994129,-64,-5,34,-9.71854495222747,2.46057327040405,7.25797168182342,90.6666666666667,-6.66666666666669,0,1,"COLUMBIA","TOWN OF LEEDS","TOWN OF LEEDS WARDS 1-2",1,"ES&S","ES&S M100","ES&S Automark","TOWN OF LEEDS COLUMBIA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5502143125",1,534,"Wisconsin","Columbia Town","Leeds","Ballot Marking Device or System","Yes","Town","TOWN OF LEEDS","COLUMBIA",0,1,0,1
"820","TOWN OF LEMONWEIR JUNEAU",285,36.6795366795367,19,777,2.44530244530245,934,473,60.8751608751609,448,7,790,335,84.5824411134904,56.7088607594937,42.4050632911392,0.886075949367089,-163,138,12,-20.029324079957,18.4700975840216,1.55922649593536,83.1905781584582,-1.39186295503212,0,1,"JUNEAU","TOWN OF LEMONWEIR","TOWN OF LEMONWEIR WARDS 1-4",0,NA,NA,NA,"TOWN OF LEMONWEIR JUNEAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5505743300",1,938,"Wisconsin","Juneau Town","Lemonweir","DRE-Touchscreen","Yes","Town","TOWN OF LEMONWEIR","JUNEAU",1,0,1,0
"821","TOWN OF LENA OCONTO",98,25.7894736842105,18,380,4.73684210526316,486,264,69.4736842105263,168,3,369,198,75.9259259259259,45.5284552845528,53.6585365853659,0.813008130081301,-70,66,15,-19.7389816003423,15.8151476251605,3.92383397518186,78.1893004115226,2.26337448559671,0,0,"OCONTO","TOWN OF LENA","TOWN OF LENA WARD 1",0,NA,NA,NA,"TOWN OF LENA OCONTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5508343350",1,452,"Wisconsin","Oconto Town","Lena","DRE-Touchscreen","Yes","Town","TOWN OF LENA","OCONTO",1,0,1,0
"822","TOWN OF LENROOT SAWYER",299,35.7228195937873,46,837,5.49581839904421,959,492,58.7813620071685,354,6,814,454,84.8800834202294,43.4889434889435,55.7739557739558,0.737100737100737,-55,38,40,-7.76612389515616,3.00740623321268,4.75871766194347,87.2784150156413,2.3983315954119,0,0,"SAWYER","TOWN OF LENROOT","TOWN OF LENROOT WARDS 1-2",0,NA,NA,NA,"TOWN OF LENROOT SAWYER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5511343400",1,970,"Wisconsin","Sawyer Town","Lenroot","DRE-Touchscreen","Yes","Town","TOWN OF LENROOT","SAWYER",1,0,1,0
